#,Protein ID,AgeBeta,Pvalue,BH Adjusted Pvalue,Acc No.,ProteinDescription,Genenames,AA Length,GenePrimary,GOCC,GOMF,GOBP,Tissue,Ome,Species
982,GSLG1_HUMAN,0.003657324,1.01E-06,8.06E-05,Q92896,Golgi apparatus protein 1 (CFR-1) (Cysteine-rich fibroblast growth factor receptor) (E-selectin ligand 1) (ESL-1) (Golgi sialoglycoprotein MG-160),GLG1 CFR1 ESL1 MG160,1179,GLG1,extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; proteinaceous extracellular matrix [GO:0005578]; fibroblast growth factor binding [GO:0017134]; receptor binding [GO:0005102]; bone morphogenesis [GO:0060349]; leukocyte migration [GO:0050900]; negative regulation of protein processing [GO:0010955]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; regulation of chondrocyte differentiation [GO:0032330],extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; proteinaceous extracellular matrix [GO:0005578]; fibroblast growth factor binding [GO:0017134]; receptor binding [GO:0005102]; bone morphogenesis [GO:0060349]; leukocyte migration [GO:0050900]; negative regulation of protein processing [GO:0010955]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; regulation of chondrocyte differentiation [GO:0032330],extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; proteinaceous extracellular matrix [GO:0005578]; fibroblast growth factor binding [GO:0017134]; receptor binding [GO:0005102]; bone morphogenesis [GO:0060349]; leukocyte migration [GO:0050900]; negative regulation of protein processing [GO:0010955]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; regulation of chondrocyte differentiation [GO:0032330],SKM,PROT,HUMAN
983,CCG1_HUMAN,0.004349705,0.032172797,0.131329775,Q06432,"Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma)",CACNG1 CACNLG,222,CACNG1,plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]; cardiac conduction [GO:0061337]; muscle contraction [GO:0006936]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; transport [GO:0006810],plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]; cardiac conduction [GO:0061337]; muscle contraction [GO:0006936]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; transport [GO:0006810],plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]; cardiac conduction [GO:0061337]; muscle contraction [GO:0006936]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; transport [GO:0006810],SKM,PROT,HUMAN
984,TKT_HUMAN,0.004408366,0.028906657,0.122866675,P29401,Transketolase (TK) (EC 2.2.1.1),TKT,623,TKT,"cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; peroxisome [GO:0005777]; vesicle [GO:0031982]; cofactor binding [GO:0048037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; transketolase activity [GO:0004802]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]; regulation of growth [GO:0040008]; xylulose biosynthetic process [GO:0005999]","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; peroxisome [GO:0005777]; vesicle [GO:0031982]; cofactor binding [GO:0048037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; transketolase activity [GO:0004802]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]; regulation of growth [GO:0040008]; xylulose biosynthetic process [GO:0005999]","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; peroxisome [GO:0005777]; vesicle [GO:0031982]; cofactor binding [GO:0048037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; transketolase activity [GO:0004802]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]; regulation of growth [GO:0040008]; xylulose biosynthetic process [GO:0005999]",SKM,PROT,HUMAN
985,GID8_HUMAN,0.004668811,0.000493795,0.007509799,Q9NWU2,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1),GID8 C20orf11,228,GID8,cell junction [GO:0030054]; nucleoplasm [GO:0005654],cell junction [GO:0030054]; nucleoplasm [GO:0005654],cell junction [GO:0030054]; nucleoplasm [GO:0005654],SKM,PROT,HUMAN
986,GMFG_HUMAN,0.004770935,0.007450302,0.050735201,O60234,Glia maturation factor gamma (GMF-gamma),GMFG,142,GMFG,extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]; enzyme activator activity [GO:0008047]; growth factor activity [GO:0008083]; protein kinase inhibitor activity [GO:0004860]; actin filament debranching [GO:0071846]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]; neutrophil degranulation [GO:0043312]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton reorganization [GO:2000249],extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]; enzyme activator activity [GO:0008047]; growth factor activity [GO:0008083]; protein kinase inhibitor activity [GO:0004860]; actin filament debranching [GO:0071846]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]; neutrophil degranulation [GO:0043312]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton reorganization [GO:2000249],extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]; enzyme activator activity [GO:0008047]; growth factor activity [GO:0008083]; protein kinase inhibitor activity [GO:0004860]; actin filament debranching [GO:0071846]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]; neutrophil degranulation [GO:0043312]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton reorganization [GO:2000249],SKM,PROT,HUMAN
987,MYADM_HUMAN,0.004807011,0.042969607,0.156578103,Q96S97,Myeloid-associated differentiation marker (Protein SB135),MYADM UNQ553/PRO1110,322,MYADM,cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; establishment of endothelial barrier [GO:0061028]; membrane raft organization [GO:0031579]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of gene expression [GO:0010629]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of protein kinase C signaling [GO:0090038]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of cell migration [GO:0030335]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein targeting to plasma membrane [GO:0072661],cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; establishment of endothelial barrier [GO:0061028]; membrane raft organization [GO:0031579]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of gene expression [GO:0010629]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of protein kinase C signaling [GO:0090038]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of cell migration [GO:0030335]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein targeting to plasma membrane [GO:0072661],cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; establishment of endothelial barrier [GO:0061028]; membrane raft organization [GO:0031579]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of gene expression [GO:0010629]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of protein kinase C signaling [GO:0090038]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of cell migration [GO:0030335]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein targeting to plasma membrane [GO:0072661],SKM,PROT,HUMAN
988,LARP7_HUMAN,0.004844338,0.000157963,0.003279039,Q4G0J3,La-related protein 7 (La ribonucleoprotein domain family member 7) (P-TEFb-interaction protein for 7SK stability) (PIP7S),LARP7 HDCMA18P,582,LARP7,cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; RNA processing [GO:0006396],cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; RNA processing [GO:0006396],cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; RNA processing [GO:0006396],SKM,PROT,HUMAN
989,ASML_HUMAN,0.004853805,0.00146742,0.01639617,O95671,N-acetylserotonin O-methyltransferase-like protein (ASMTL) (EC 2.1.1.-),ASMTL,621,ASMTL,cytosol [GO:0005829]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; O-methyltransferase activity [GO:0008171],cytosol [GO:0005829]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; O-methyltransferase activity [GO:0008171],cytosol [GO:0005829]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; O-methyltransferase activity [GO:0008171],SKM,PROT,HUMAN
990,VP37C_HUMAN,0.004906509,0.016415046,0.085490962,A5D8V6,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C),VPS37C PML39,355,VPS37C,endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; extracellular exosome [GO:0070062]; late endosome membrane [GO:0031902]; calcium-dependent protein binding [GO:0048306]; protein dimerization activity [GO:0046983]; endosomal transport [GO:0016197]; intracellular transport of virus [GO:0075733]; macroautophagy [GO:0016236]; multivesicular body assembly [GO:0036258]; protein transport [GO:0015031]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058],endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; extracellular exosome [GO:0070062]; late endosome membrane [GO:0031902]; calcium-dependent protein binding [GO:0048306]; protein dimerization activity [GO:0046983]; endosomal transport [GO:0016197]; intracellular transport of virus [GO:0075733]; macroautophagy [GO:0016236]; multivesicular body assembly [GO:0036258]; protein transport [GO:0015031]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058],endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; extracellular exosome [GO:0070062]; late endosome membrane [GO:0031902]; calcium-dependent protein binding [GO:0048306]; protein dimerization activity [GO:0046983]; endosomal transport [GO:0016197]; intracellular transport of virus [GO:0075733]; macroautophagy [GO:0016236]; multivesicular body assembly [GO:0036258]; protein transport [GO:0015031]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058],SKM,PROT,HUMAN
991,TPC11_HUMAN,0.004945253,0.036156509,0.140628369,Q7Z392,Trafficking protein particle complex subunit 11,TRAPPC11 C4orf41,1133,TRAPPC11,cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008],Rab guanyl-nucleotide exchange factor activity [GO:0017112],ER to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; membrane organization [GO:0061024]; protein oligomerization [GO:0051259]; regulation of protein complex stability [GO:0061635],SKM,PROT,HUMAN
992,NOP9_HUMAN,0.005030997,0.008180184,0.053238049,Q86U38,Nucleolar protein 9,NOP9 C14orf21 KIAA2021,636,NOP9,RNA binding [GO:0003723],RNA binding [GO:0003723],RNA binding [GO:0003723],SKM,PROT,HUMAN
993,THUM1_HUMAN,0.005041524,1.00E-06,8.06E-05,Q9NXG2,THUMP domain-containing protein 1,THUMPD1,353,THUMPD1,nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; rRNA modification [GO:0000154]; tRNA modification [GO:0006400],nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; rRNA modification [GO:0000154]; tRNA modification [GO:0006400],nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; rRNA modification [GO:0000154]; tRNA modification [GO:0006400],SKM,PROT,HUMAN
994,TTC9A_HUMAN,0.005080854,0.011174592,0.06475417,Q92623,Tetratricopeptide repeat protein 9A (TPR repeat protein 9A),TTC9 KIAA0227 TTC9A,222,TTC9,,,,SKM,PROT,HUMAN
995,TM245_HUMAN,0.005127215,0.004600034,0.0363685,Q9H330,Transmembrane protein 245 (Protein CG-2),TMEM245 C9orf5,911,TMEM245,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],SKM,PROT,HUMAN
996,MFGM_HUMAN,0.005187255,0.020043574,0.096919093,Q08431,Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin],MFGE8,387,MFGE8,"external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; extrinsic component of plasma membrane [GO:0019897]; membrane [GO:0016020]; integrin binding [GO:0005178]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylserine binding [GO:0001786]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cellular protein metabolic process [GO:0044267]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of apoptotic cell clearance [GO:2000427]; single fertilization [GO:0007338]; viral process [GO:0016032]","external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; extrinsic component of plasma membrane [GO:0019897]; membrane [GO:0016020]; integrin binding [GO:0005178]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylserine binding [GO:0001786]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cellular protein metabolic process [GO:0044267]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of apoptotic cell clearance [GO:2000427]; single fertilization [GO:0007338]; viral process [GO:0016032]","external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; extrinsic component of plasma membrane [GO:0019897]; membrane [GO:0016020]; integrin binding [GO:0005178]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylserine binding [GO:0001786]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cellular protein metabolic process [GO:0044267]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of apoptotic cell clearance [GO:2000427]; single fertilization [GO:0007338]; viral process [GO:0016032]",SKM,PROT,HUMAN
997,PCOC1_HUMAN,0.005486658,0.004103754,0.033471958,Q15113,Procollagen C-endopeptidase enhancer 1 (Procollagen COOH-terminal proteinase enhancer 1) (PCPE-1) (Procollagen C-proteinase enhancer 1) (Type 1 procollagen C-proteinase enhancer protein) (Type I procollagen COOH-terminal proteinase enhancer),PCOLCE PCPE1,449,PCOLCE,extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; peptidase activator activity [GO:0016504]; multicellular organism development [GO:0007275]; proteolysis [GO:0006508],extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; peptidase activator activity [GO:0016504]; multicellular organism development [GO:0007275]; proteolysis [GO:0006508],extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; peptidase activator activity [GO:0016504]; multicellular organism development [GO:0007275]; proteolysis [GO:0006508],SKM,PROT,HUMAN
998,RPR1A_HUMAN,0.005492701,0.002431719,0.023460195,Q96P16,Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein),RPRD1A P15RS,312,RPRD1A,"DNA-directed RNA polymerase II, holoenzyme [GO:0016591]; nucleoplasm [GO:0005654]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; snRNA transcription from RNA polymerase II promoter [GO:0042795]","DNA-directed RNA polymerase II, holoenzyme [GO:0016591]; nucleoplasm [GO:0005654]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; snRNA transcription from RNA polymerase II promoter [GO:0042795]","DNA-directed RNA polymerase II, holoenzyme [GO:0016591]; nucleoplasm [GO:0005654]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; snRNA transcription from RNA polymerase II promoter [GO:0042795]",SKM,PROT,HUMAN
999,CS043_HUMAN,0.005574744,0.009428407,0.058743133,Q9BQ61,Uncharacterized protein C19orf43,C19orf43,176,C19orf43,,,,SKM,PROT,HUMAN
1000,ADH1G_HUMAN,0.005589397,0.02539417,0.113738621,P00326,Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma),ADH1C ADH3,375,ADH1C,"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NAD) activity [GO:0004022]; alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; retinol dehydrogenase activity [GO:0004745]; zinc ion binding [GO:0008270]; ethanol oxidation [GO:0006069]","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NAD) activity [GO:0004022]; alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; retinol dehydrogenase activity [GO:0004745]; zinc ion binding [GO:0008270]; ethanol oxidation [GO:0006069]","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NAD) activity [GO:0004022]; alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; retinol dehydrogenase activity [GO:0004745]; zinc ion binding [GO:0008270]; ethanol oxidation [GO:0006069]",SKM,PROT,HUMAN
1001,F13A_HUMAN,0.005669657,0.001672869,0.017958746,P00488,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),F13A1 F13A,732,F13A1,"blood microparticle [GO:0072562]; extracellular region [GO:0005576]; platelet alpha granule lumen [GO:0031093]; metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; blood coagulation [GO:0007596]; blood coagulation, fibrin clot formation [GO:0072378]; peptide cross-linking [GO:0018149]; platelet degranulation [GO:0002576]","blood microparticle [GO:0072562]; extracellular region [GO:0005576]; platelet alpha granule lumen [GO:0031093]; metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; blood coagulation [GO:0007596]; blood coagulation, fibrin clot formation [GO:0072378]; peptide cross-linking [GO:0018149]; platelet degranulation [GO:0002576]","blood microparticle [GO:0072562]; extracellular region [GO:0005576]; platelet alpha granule lumen [GO:0031093]; metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; blood coagulation [GO:0007596]; blood coagulation, fibrin clot formation [GO:0072378]; peptide cross-linking [GO:0018149]; platelet degranulation [GO:0002576]",SKM,PROT,HUMAN
1002,UGDH_HUMAN,0.006132048,0.000128049,0.002807956,O60701,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH,494,UGDH,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; electron carrier activity [GO:0009055]; NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; gastrulation with mouth forming second [GO:0001702]; glycosaminoglycan biosynthetic process [GO:0006024]; UDP-glucose metabolic process [GO:0006011]; UDP-glucuronate biosynthetic process [GO:0006065],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; electron carrier activity [GO:0009055]; NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; gastrulation with mouth forming second [GO:0001702]; glycosaminoglycan biosynthetic process [GO:0006024]; UDP-glucose metabolic process [GO:0006011]; UDP-glucuronate biosynthetic process [GO:0006065],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; electron carrier activity [GO:0009055]; NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; gastrulation with mouth forming second [GO:0001702]; glycosaminoglycan biosynthetic process [GO:0006024]; UDP-glucose metabolic process [GO:0006011]; UDP-glucuronate biosynthetic process [GO:0006065],SKM,PROT,HUMAN
1003,MIME_HUMAN,0.006307403,0.021855048,0.103041024,P20774,Mimecan (Osteoglycin) (Osteoinductive factor) (OIF),OGN OIF SLRR3A,298,OGN,extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; proteinaceous extracellular matrix [GO:0005578]; growth factor activity [GO:0008083]; axonogenesis [GO:0007409]; keratan sulfate biosynthetic process [GO:0018146]; keratan sulfate catabolic process [GO:0042340]; negative regulation of smooth muscle cell proliferation [GO:0048662],extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; proteinaceous extracellular matrix [GO:0005578]; growth factor activity [GO:0008083]; axonogenesis [GO:0007409]; keratan sulfate biosynthetic process [GO:0018146]; keratan sulfate catabolic process [GO:0042340]; negative regulation of smooth muscle cell proliferation [GO:0048662],extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; proteinaceous extracellular matrix [GO:0005578]; growth factor activity [GO:0008083]; axonogenesis [GO:0007409]; keratan sulfate biosynthetic process [GO:0018146]; keratan sulfate catabolic process [GO:0042340]; negative regulation of smooth muscle cell proliferation [GO:0048662],SKM,PROT,HUMAN
1004,TARSH_HUMAN,0.006403252,0.002049375,0.020969057,Q7Z7G0,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),ABI3BP NESHBP TARSH,1075,ABI3BP,extracellular space [GO:0005615]; interstitial matrix [GO:0005614]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; extracellular matrix organization [GO:0030198]; positive regulation of cell-substrate adhesion [GO:0010811],extracellular space [GO:0005615]; interstitial matrix [GO:0005614]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; extracellular matrix organization [GO:0030198]; positive regulation of cell-substrate adhesion [GO:0010811],extracellular space [GO:0005615]; interstitial matrix [GO:0005614]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; extracellular matrix organization [GO:0030198]; positive regulation of cell-substrate adhesion [GO:0010811],SKM,PROT,HUMAN
1005,FMOD_HUMAN,0.006615343,0.04379225,0.158651822,Q06828,Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin),FMOD FM SLRR2E,376,FMOD,extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; proteinaceous extracellular matrix [GO:0005578]; collagen fibril organization [GO:0030199]; keratan sulfate biosynthetic process [GO:0018146]; keratan sulfate catabolic process [GO:0042340]; transforming growth factor beta receptor complex assembly [GO:0007181],extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; proteinaceous extracellular matrix [GO:0005578]; collagen fibril organization [GO:0030199]; keratan sulfate biosynthetic process [GO:0018146]; keratan sulfate catabolic process [GO:0042340]; transforming growth factor beta receptor complex assembly [GO:0007181],extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; proteinaceous extracellular matrix [GO:0005578]; collagen fibril organization [GO:0030199]; keratan sulfate biosynthetic process [GO:0018146]; keratan sulfate catabolic process [GO:0042340]; transforming growth factor beta receptor complex assembly [GO:0007181],SKM,PROT,HUMAN
1006,CMA1_HUMAN,0.006654882,8.77E-05,0.002246548,P23946,Chymase (EC 3.4.21.39) (Alpha-chymase) (Mast cell protease I),CMA1 CYH CYM,247,CMA1,cell [GO:0005623]; extracellular region [GO:0005576]; endopeptidase activity [GO:0004175]; peptide binding [GO:0042277]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; angiotensin maturation [GO:0002003]; cellular response to glucose stimulus [GO:0071333]; extracellular matrix disassembly [GO:0022617]; interleukin-1 beta biosynthetic process [GO:0050720]; midbrain development [GO:0030901]; positive regulation of angiogenesis [GO:0045766]; protein processing [GO:0016485]; regulation of inflammatory response [GO:0050727],cell [GO:0005623]; extracellular region [GO:0005576]; endopeptidase activity [GO:0004175]; peptide binding [GO:0042277]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; angiotensin maturation [GO:0002003]; cellular response to glucose stimulus [GO:0071333]; extracellular matrix disassembly [GO:0022617]; interleukin-1 beta biosynthetic process [GO:0050720]; midbrain development [GO:0030901]; positive regulation of angiogenesis [GO:0045766]; protein processing [GO:0016485]; regulation of inflammatory response [GO:0050727],cell [GO:0005623]; extracellular region [GO:0005576]; endopeptidase activity [GO:0004175]; peptide binding [GO:0042277]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; angiotensin maturation [GO:0002003]; cellular response to glucose stimulus [GO:0071333]; extracellular matrix disassembly [GO:0022617]; interleukin-1 beta biosynthetic process [GO:0050720]; midbrain development [GO:0030901]; positive regulation of angiogenesis [GO:0045766]; protein processing [GO:0016485]; regulation of inflammatory response [GO:0050727],SKM,PROT,HUMAN
1007,EPDR1_HUMAN,0.006835027,5.21E-06,0.000265108,Q9UM22,Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein),EPDR1 MERP1 UCC1,224,EPDR1,extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lysosome [GO:0005764]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160],extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lysosome [GO:0005764]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160],extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lysosome [GO:0005764]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160],SKM,PROT,HUMAN
