UniProt Accession,Description,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fractions,Occurrences,Highest mean condition,Lowest mean condition,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,Anova p-value <= 0.05,Fold change >= 1.5,Fold change >= 2,Tissue,Ome,Species
CRIP2_HUMAN,Cysteine rich protein 2 OS Homo sapiens GN CRIP2 PE 1 SV 1,3,2,14.26,0.302715534,0.202151963,1.17396071,0.181755477,5;6,2,HCM,Control,889.5464941,835.938598,790.9363565,751.1511742,758.1862079,736.2368902,777.8343991,971.3338449,796.7377719,1076.012272,809.4239744,701.1769101,735.8002229,782.1440977,1863.352784,904.6454378,830.5973783,,,,HEART,PROT,HUMAN
LMNA_HUMAN,Prelamin A C OS Homo sapiens GN LMNA PE 1 SV 1,1,1,6.33,0.307532647,0.204377317,1.29252832,0.178996763,6,1,HCM,Control,36.64798971,54.36116283,73.92540382,0,71.847197,34.49271775,119.1235426,53.95458455,61.58269571,5.369637761,64.51859982,53.00113069,55.21706946,53.84187903,24.67703061,94.44346115,57.09191971,,,,HEART,PROT,HUMAN
H33_HUMAN;H31T_HUMAN;H31_HUMAN;H32_HUMAN;H3C_HUMAN,Histone H3 3 OS Homo sapiens GN H3F3A PE 1 SV 2,7,6,30.35,0.308054797,0.204377317,1.13896148,0.178701372,1;4;5;9,4,HCM,Control,1317.171715,1381.000803,1804.940429,1201.934377,1601.733652,1334.300628,1700.592758,1999.673338,1478.161498,1190.059051,1476.802196,1998.02592,1641.608316,1387.159425,2151.001539,2010.024209,1010.300046,,,,HEART,PROT,HUMAN
ODO2_HUMAN,Dihydrolipoyllysine residue succinyltransferase component of 2 oxoglutarate dehydrogenase complex m,24,19,113.51,0.309087303,0.204396542,1.14862386,0.178119327,3;4;5;6;7;8,6,HCM,Control,8189.388442,6799.056206,7936.676232,8547.820397,8894.712055,10129.47067,7864.486186,7534.822151,7815.525006,9342.572191,10624.13358,8265.980089,8414.831481,8328.665642,9224.410488,11286.73649,17635.20635,,,,HEART,PROT,HUMAN
FAHD1_HUMAN,Acylpyruvase FAHD1 mitochondrial OS Homo sapiens GN FAHD1 PE 1 SV 2,1,1,13.58,0.31304418,0.205839727,1.06360565,0.175913869,10,1,HCM,Control,2185.276512,1705.263,2177.023435,2140.681526,1963.892604,2297.213257,2511.609168,2541.096928,2170.850202,2177.103896,2092.376839,1960.221378,2308.318508,2476.791049,1924.281994,2360.784633,1791.096357,,,,HEART,PROT,HUMAN
ACTN4_HUMAN,Alpha actinin 4 OS Homo sapiens GN ACTN4 PE 1 SV 2,42,5,227.57,0.315841542,0.205982901,1.22777277,0.174378329,1;2;3;4;5;6;7;8;9;10,10,HCM,Control,620.6582516,910.334648,754.045144,635.1830787,762.723132,627.0278595,923.3479526,755.7647794,837.6275971,487.8915131,534.0290632,1053.275178,1340.504781,778.1194891,1275.311065,547.1414844,1168.375512,,,,HEART,PROT,HUMAN
LDH6A_HUMAN,L lactate dehydrogenase A like 6A OS Homo sapiens GN LDHAL6A PE 2 SV 1,10,4,55.6,0.316150882,0.205982901,1.11334377,0.174209708,4;5;6,3,HCM,Control,724.1328339,587.9627027,1102.856727,531.6250296,720.7143572,665.0500198,667.0339383,787.5388849,1039.606479,643.3167722,622.3989735,618.3844595,984.9824403,875.3820097,1068.247368,745.5079131,790.4743457,,,,HEART,PROT,HUMAN
MDHC_HUMAN,Malate dehydrogenase cytoplasmic OS Homo sapiens GN MDH1 PE 1 SV 4,96,70,390.51,0.316542781,0.205982901,1.06962411,0.173996422,1;2;3;4;5;6;7;8;9;10;11;12,12,HCM,Control,52171.55937,47862.15171,46816.88086,50264.09926,41375.6862,56010.37545,48251.3721,60537.21492,41812.97433,57031.33548,49089.61254,48416.7669,45742.74283,49304.65584,60952.18166,54776.89357,61593.61189,,,,HEART,PROT,HUMAN
SODM_HUMAN,Superoxide dismutase Mn mitochondrial OS Homo sapiens GN SOD2 PE 1 SV 2,39,27,217.97,0.331356303,0.211566863,1.08535259,0.166201055,1;2;3;4;5;6;7;8;9;10;11,11,HCM,Control,10080.4576,10345.79207,11623.17488,14178.77816,9643.137441,11558.58672,13107.20177,13893.62161,10077.57877,13604.23344,11911.37482,9719.484967,9781.419396,11287.78916,16161.95885,12806.90416,11821.38325,,,,HEART,PROT,HUMAN
PP2AA_HUMAN;PP2AB_HUMAN,Serine threonine protein phosphatase 2A catalytic subunit alpha isoform OS Homo sapiens GN PPP2CA PE,1,1,5.78,0.333482814,0.212259224,1.06600067,0.165123169,8,1,HCM,Control,141.7077887,80.26691033,4.360879883,120.6880257,95.15242907,112.3981081,55.17002708,103.9913119,80.74609579,142.2542352,118.304639,61.65613403,107.7484805,100.149159,81.39976088,114.8763724,117.5272,,,,HEART,PROT,HUMAN
ODO1_HUMAN;OGDHL_HUMAN,2 oxoglutarate dehydrogenase mitochondrial OS Homo sapiens GN OGDH PE 1 SV 3,21,20,95.57,0.341095254,0.213821208,1.08413564,0.161345134,3;4;5;6;7;8;9;10,8,HCM,Control,4369.455844,4546.257444,4345.758518,4663.525191,4598.726606,4712.985523,4824.366706,4481.324793,3300.013994,4945.35097,5588.198034,4718.284011,4952.592226,5273.87471,4219.037699,5841.389888,5990.76014,,,,HEART,PROT,HUMAN
A1BG_HUMAN,Alpha 1B glycoprotein OS Homo sapiens GN A1BG PE 1 SV 4,1,1,6.87,0.342021499,0.213821208,1.15386066,0.160893853,9,1,HCM,Control,185.9513872,264.6691891,289.3690699,266.7559351,185.1204909,279.0418831,354.1730208,239.7099907,200.7935625,250.1462727,249.8536946,298.1462274,235.2648665,303.41241,264.4603189,203.4504504,512.1643622,,,,HEART,PROT,HUMAN
K6PP_HUMAN,6 phosphofructokinase type C OS Homo sapiens GN PFKP PE 1 SV 2,12,9,82.67,0.346306342,0.214712733,1.08472515,0.158829368,4;5;7;8;9,5,HCM,Control,1651.868345,1240.772992,1130.433389,1536.266066,1564.174938,1462.119233,1848.277144,1544.194676,1029.721931,1621.656661,1697.712805,1454.951412,1621.425279,1543.847962,1312.65792,1844.142739,1555.34411,,,,HEART,PROT,HUMAN
ACOT1_HUMAN,Acyl coenzyme A thioesterase 1 OS Homo sapiens GN ACOT1 PE 1 SV 1,21,1,107.21,0.350958016,0.215852509,1.41931236,0.156630428,1;2;4;5;6;9;10,7,HCM,Control,310.122605,228.8934384,276.5855143,178.1692212,256.2653402,188.4171251,443.3757662,380.4379955,712.8376996,282.7644678,143.0242944,260.8950933,621.8557103,156.0041269,362.0638152,232.2167374,147.4841604,,,,HEART,PROT,HUMAN
GELS_HUMAN,Gelsolin OS Homo sapiens GN GSN PE 1 SV 1,7,5,27.44,0.356786824,0.217845319,1.27039311,0.15393543,4;5;6,3,HCM,Control,843.0900175,776.967008,753.5270367,882.9625367,767.9745315,793.7297673,1558.769917,1430.696181,1163.663036,602.3120471,590.358412,863.762287,1257.033698,744.9999727,1398.656627,454.658041,1157.05644,,,,HEART,PROT,HUMAN
GLRX1_HUMAN,Glutaredoxin 1 OS Homo sapiens GN GLRX PE 1 SV 2,5,5,35.52,0.357247931,0.217845319,1.14010607,0.153725042,5;6;7;8;10;12,6,HCM,Control,1850.598344,1292.056425,602.9835441,1344.459759,1111.967981,1584.779868,1885.603498,1144.054023,837.5838706,1792.197428,1692.176224,2074.112378,1215.24496,1784.864659,1237.023834,1436.09506,1177.066232,,,,HEART,PROT,HUMAN
NNRE_HUMAN,NAD P H hydrate epimerase OS Homo sapiens GN APOA1BP PE 1 SV 2,1,1,7.03,0.370042503,0.222328432,1.14206142,0.148045706,9,1,HCM,Control,226.2706086,243.4783173,241.1263201,307.8021543,228.9447537,276.2274376,320.3644385,394.0591299,255.6498962,336.3954716,168.2252476,356.3241671,279.7144902,334.2265974,249.5863702,312.1196131,183.9392586,,,,HEART,PROT,HUMAN
SRSF9_HUMAN,Serine arginine rich splicing factor 9 OS Homo sapiens GN SRSF9 PE 1 SV 1,2,2,6.3,0.380331736,0.227838306,1.14341571,0.143690923,1,1,HCM,Control,400.9912048,153.475976,353.709495,279.2589192,611.4470953,511.0880266,478.8679861,647.5205699,455.0886131,514.8501084,326.7626605,352.7078839,284.980497,441.7008294,230.0947939,645.2426625,464.4875473,,,,HEART,PROT,HUMAN
WDR54_HUMAN,WD repeat containing protein 54 OS Homo sapiens GN WDR54 PE 1 SV 1,1,1,11.9,0.382982679,0.228753553,1.38384549,0.142598226,8;11,2,HCM,Control,1435.196764,618.2062018,612.8396634,601.4150117,526.0492498,688.0795863,1109.448372,1398.383385,743.1383308,877.6231857,664.4630949,197.3474341,1376.022042,785.326197,2232.425356,1172.918439,813.4208054,,,,HEART,PROT,HUMAN
FBX8_HUMAN,F box only protein 8 OS Homo sapiens GN FBXO8 PE 2 SV 1,1,1,6.52,0.390037895,0.230935902,1.14280314,0.139746529,10,1,HCM,Control,413.5294501,525.6014435,725.3698048,509.5545961,397.7058877,495.0690228,573.9384659,666.324652,528.4145303,482.0600018,376.4842127,502.0533294,523.9334454,516.9753079,1133.531543,512.2182972,609.502045,,,,HEART,PROT,HUMAN
ADT2_HUMAN,ADP ATP translocase 2 OS Homo sapiens GN SLC25A5 PE 1 SV 7,44,4,195.24,0.403788448,0.233643832,1.20879331,0.134414874,1;3;4;5;7;8;9;10;11;12,10,HCM,Control,517.3214213,398.9211641,476.5721886,551.4938088,524.8689049,464.952833,456.5380362,653.6034633,824.8323595,596.544497,487.1618761,946.9221016,822.3142015,403.2692316,614.9104781,423.9614545,272.3303334,,,,HEART,PROT,HUMAN
NIPS2_HUMAN,Protein NipSnap homolog 2 OS Homo sapiens GN GBAS PE 1 SV 1,6,5,48.47,0.407273966,0.233744438,1.17247542,0.133108975,4;5;8;10,4,HCM,Control,1399.580443,1099.301739,1234.455332,1196.384053,986.0931875,1273.09491,1054.589923,1165.087379,964.034419,2259.030421,1382.148625,1089.000267,1152.67059,1160.999119,2001.856503,2181.530176,1041.889073,,,,HEART,PROT,HUMAN
ANM5_HUMAN,Protein arginine N methyltransferase 5 OS Homo sapiens GN PRMT5 PE 1 SV 4,1,1,6.55,0.412435631,0.234817241,1.22649864,0.131207693,5,1,HCM,Control,32.48558054,27.65955864,36.22442263,28.90477773,27.52690618,35.12646809,21.69506381,28.52105963,34.0766742,72.30621606,50.28167709,29.62189993,23.30420186,37.53756416,51.94503806,48.85342082,24.42784256,,,,HEART,PROT,HUMAN
GDIA_HUMAN,Rab GDP dissociation inhibitor alpha OS Homo sapiens GN GDI1 PE 1 SV 2,5,4,34.5,0.414378975,0.235096605,1.23367794,0.130501782,5;6;9,3,HCM,Control,719.4269354,503.9043988,818.9658966,810.0184585,715.9281719,683.9742265,914.9201528,941.2563606,863.0938176,1030.180343,697.3853848,237.0975769,793.0683842,943.6488809,1235.498177,961.502645,999.7722813,,,,HEART,PROT,HUMAN
HCDH_HUMAN,Hydroxyacyl coenzyme A dehydrogenase mitochondrial OS Homo sapiens GN HADH PE 1 SV 3,22,17,127.17,0.426572292,0.238602122,1.11448132,0.126192534,1;4;5;6;7;8;9;10,8,HCM,Control,8328.451661,6018.585087,11425.55529,10141.65619,7386.213826,7821.983435,8027.788744,10418.2835,9143.542647,9529.880137,8404.74376,8628.102346,7202.828788,8044.829998,18007.87496,8638.583482,8407.727471,,,,HEART,PROT,HUMAN
VIME_HUMAN;GFAP_HUMAN;KRT84_HUMAN;PERI_HUMAN,Vimentin OS Homo sapiens GN VIM PE 1 SV 4,67,34,338.02,0.42710277,0.238602122,1.07164958,0.126009644,1;2;3;4;5;6;7;10;11;12,10,HCM,Control,11909.81384,15220.9594,11762.64528,11446.1476,13634.23645,10719.17265,17482.64057,11457.9555,12717.79644,11631.32643,12984.77446,10872.37923,12007.27677,13159.88027,18232.80531,12841.60781,13360.16538,,,,HEART,PROT,HUMAN
TFPT_HUMAN,TCF3 fusion partner OS Homo sapiens GN TFPT PE 1 SV 1,1,1,6.33,0.434730722,0.240576838,1.90941303,0.123420727,8,1,HCM,Control,20.13410936,107.3115236,0,85.99913793,136.471668,44.35687867,232.7905978,105.5810828,190.8324496,77.06739338,26.59238558,0,359.1469112,64.59575187,93.42192475,27.1598611,203.0010913,,x,,HEART,PROT,HUMAN
DLDH_HUMAN,Dihydrolipoyl dehydrogenase mitochondrial OS Homo sapiens GN DLD PE 1 SV 2,20,14,120.89,0.4370312,0.240576838,1.12885942,0.122654728,1;2;4;5;6;7;8;10,8,HCM,Control,10757.54944,7308.842389,9976.157051,9623.592267,7630.450505,9802.948027,7912.926225,9535.740559,7290.271767,10946.82176,11002.31331,6922.97475,8734.475206,9019.836599,13974.6508,12370.80777,16321.84446,,,,HEART,PROT,HUMAN
TSTD1_HUMAN,Thiosulfate sulfurtransferase rhodanese like domain containing protein 1 OS Homo sapiens GN TSTD1 PE,1,1,6.81,0.43884403,0.24092362,1.36782926,0.122055841,4,1,HCM,Control,57.88558886,78.97695969,69.82336806,84.15957459,120.3100248,62.65311443,123.8836519,178.052994,199.9020846,55.57422772,74.83873342,136.7812201,113.072989,114.2528371,63.21517721,24.31322581,104.2765923,,,,HEART,PROT,HUMAN
HEMO_HUMAN,Hemopexin OS Homo sapiens GN HPX PE 1 SV 2,12,8,68.77,0.444678208,0.243470306,1.17114118,0.120156376,5;6;7;8;9;10,6,HCM,Control,2555.361747,3166.022727,3331.431989,3976.480176,2185.4527,4344.11043,3896.60256,2669.870668,2790.275135,2865.489335,3859.882198,3309.576199,2850.199465,3690.109696,3631.59407,3508.073946,8923.001248,,,,HEART,PROT,HUMAN
GRPR_HUMAN,Gastrin releasing peptide receptor OS Homo sapiens GN GRPR PE 2 SV 1,1,1,6.52,0.446763461,0.243760825,1.26862086,0.119487648,9,1,HCM,Control,179.5740864,406.6547267,355.3712689,285.6404423,341.1825924,193.6378549,412.3435492,522.9482449,523.5540428,246.2028969,166.8495133,366.2385759,224.5986962,460.3432116,689.3437385,149.1093055,336.6782863,,,,HEART,PROT,HUMAN
NFM_HUMAN,Neurofilament medium polypeptide OS Homo sapiens GN NEFM PE 1 SV 3,12,3,27.86,0.447602412,0.243760825,1.12605687,0.119220095,3;4;5;6,4,HCM,Control,347.4074476,354.1986562,423.3169776,453.6987005,438.9286632,484.0322726,353.98176,366.372371,367.374713,592.0596301,474.3624048,351.2706125,315.0757753,497.7127139,706.2027115,582.208968,557.7397687,,,,HEART,PROT,HUMAN
ATPD_HUMAN,ATP synthase subunit delta mitochondrial OS Homo sapiens GN ATP5D PE 1 SV 2,4,3,12.36,0.457405617,0.248435309,1.14120652,0.116155972,2;3,2,HCM,Control,3338.387179,1446.925119,1233.127251,4136.970192,1232.036075,6288.60388,1587.727113,4050.488887,1051.281784,3463.828907,5853.493975,5367.186819,3536.052281,2640.360251,2625.04647,2272.839008,4533.736884,,,,HEART,PROT,HUMAN
PURA_HUMAN,Transcriptional activator protein Pur alpha OS Homo sapiens GN PURA PE 1 SV 2,1,1,13.26,0.47274834,0.254355648,1.17893070,0.11158202,9,1,HCM,Control,126.9098112,124.7066657,100.1520634,139.2611655,143.2428193,121.4038717,212.1597022,211.9640662,106.7382927,164.325034,126.6260543,204.8908367,141.1917374,128.1941328,130.741381,147.4748581,58.99242711,,,,HEART,PROT,HUMAN
IGHG2_HUMAN,Ig gamma 2 chain C region OS Homo sapiens GN IGHG2 PE 1 SV 2,30,5,158.16,0.473301086,0.254355648,1.21038029,0.111422097,4;5;6;7;8;9;10,7,HCM,Control,1216.737544,1315.525683,718.6014546,806.5394972,800.9775354,1510.137116,1183.712829,1140.114949,984.4378055,807.4112782,965.1279839,1077.361013,843.8343609,2569.376386,2271.705383,687.6497066,1601.206006,,,,HEART,PROT,HUMAN
ST134_HUMAN;F10A1_HUMAN,Putative protein FAM10A4 OS Homo sapiens GN ST13P4 PE 5 SV 1,2,2,13.1,0.47727901,0.254514079,1.08239929,0.110280879,4,1,HCM,Control,392.4991612,322.5707075,368.8898412,409.8896225,359.4018638,442.0133384,359.9784158,359.6757369,298.1992395,567.7354489,429.6403312,337.0079181,341.4066291,445.0798089,470.8730732,532.2405891,412.8827727,,,,HEART,PROT,HUMAN
ATPB_HUMAN,ATP synthase subunit beta mitochondrial OS Homo sapiens GN ATP5B PE 1 SV 3,93,70,407.12,0.478690686,0.254514079,1.11163923,0.109879943,1;3;4;5;6;7;8;9;10;11;12,11,HCM,Control,50150.92061,54819.80787,56650.19217,51149.08528,49703.66107,52361.84305,60183.83896,63454.99322,48090.91004,45452.13682,51199.43011,49399.65557,51095.36862,43794.95054,100176.5465,52025.82574,76762.7692,,,,HEART,PROT,HUMAN
PDIA3_HUMAN,Protein disulfide isomerase A3 OS Homo sapiens GN PDIA3 PE 1 SV 4,6,4,26.01,0.479843859,0.254514079,1.10951593,0.109553988,1;3;6;7,4,HCM,Control,459.3908318,232.7271899,343.2583331,495.4080068,447.7915555,421.0914784,431.6748253,313.1523998,268.6994553,576.6704734,573.5926235,378.8044258,333.620807,419.6134081,463.6334304,622.5814747,499.1502106,,,,HEART,PROT,HUMAN
ENPL_HUMAN,Endoplasmin OS Homo sapiens GN HSP90B1 PE 1 SV 1,8,4,38.68,0.481593734,0.254778744,1.04011857,0.109062037,4;10,2,HCM,Control,944.9501363,1043.949158,963.4961912,1074.753997,1066.250541,939.9438901,1133.83619,1028.265927,1013.738216,1097.314472,973.7989805,902.1485107,1004.225507,983.1278286,1359.266341,1056.283854,952.8814737,,,,HEART,PROT,HUMAN
RASM_HUMAN,Ras related protein M Ras OS Homo sapiens GN MRAS PE 1 SV 2,1,1,6.19,0.485298121,0.254867859,1.22003754,0.108031119,8,1,HCM,Control,170.8584863,76.67163595,259.1906985,123.987317,138.5461521,192.6352839,133.1825815,138.7956202,184.3056235,121.7071787,190.3505982,154.1564076,408.8943008,280.9097743,78.31224861,153.238629,307.6395821,,,,HEART,PROT,HUMAN
TBB4B_HUMAN;TBB1_HUMAN;TBB8B_HUMAN;TBB8_HUMAN;YI016_HUMAN,Tubulin beta 4B chain OS Homo sapiens GN TUBB4B PE 1 SV 1,22,2,124.29,0.485762961,0.254867859,1.10695592,0.107902756,4;5;6;7;8;9;10;11,8,HCM,Control,565.1360892,521.0813201,425.3094471,412.2969209,544.9193584,378.6352777,463.6843069,388.5354156,420.4312773,871.8353262,359.319054,497.171278,540.1826643,483.8293928,651.4441656,482.6743206,619.4171714,,,,HEART,PROT,HUMAN
MYH8_HUMAN,Myosin 8 OS Homo sapiens GN MYH8 PE 1 SV 3,102,8,441.2,0.486767504,0.254867859,1.18457639,0.107626113,1;2;3;4;5;6,6,HCM,Control,3255.561244,6511.145329,5200.364097,3985.68678,4438.564254,3491.523476,6225.476581,5342.567088,6174.292555,2965.524118,2509.755892,6285.360701,7474.310774,3990.54763,7344.370443,3030.393909,7039.503788,,,,HEART,PROT,HUMAN
PRDX2_HUMAN,Peroxiredoxin 2 OS Homo sapiens GN PRDX2 PE 1 SV 5,33,20,164.03,0.494276882,0.258136125,1.06533934,0.105590449,1;5;6;7;8;9;10,7,HCM,Control,6828.593152,6387.02696,7312.213909,8493.707073,6802.009279,7333.504211,7175.303822,8497.57689,6010.568913,8464.439442,7559.580019,5845.744729,6848.798408,8802.993439,10487.52555,7658.387006,6940.080196,,,,HEART,PROT,HUMAN
THRB_HUMAN,Prothrombin OS Homo sapiens GN F2 PE 1 SV 2,1,1,6.78,0.496638035,0.258365761,1.13867342,0.104962003,10,1,HCM,Control,46.61073299,62.97852007,70.47611939,83.16213454,57.71259897,79.22446461,58.70778766,69.33268984,52.2224399,94.70436611,63.80758724,72.31725929,57.87121084,72.79664009,68.11960624,65.53284646,159.9582922,,,,HEART,PROT,HUMAN
SAP_HUMAN,Proactivator polypeptide OS Homo sapiens GN PSAP PE 1 SV 2,1,1,13.82,0.502462304,0.259746891,1.16906443,0.103435089,5,1,HCM,Control,172.0061671,211.3226652,210.3946995,246.8382337,182.020903,133.4163783,200.5249378,332.472672,206.8067938,315.3726085,200.9014649,165.696325,206.7003274,258.0202017,345.6311189,142.9580834,102.5506468,,,,HEART,PROT,HUMAN
DLRB1_HUMAN;DLRB2_HUMAN,Dynein light chain roadblock type 1 OS Homo sapiens GN DYNLRB1 PE 1 SV 3,1,1,7.15,0.505477442,0.260526415,1.09884573,0.102657447,4,1,HCM,Control,96.55006629,121.1931499,84.31643626,92.43534048,105.642977,80.65467193,100.7149419,115.9114203,130.4186316,95.28177999,117.8316392,120.095656,95.61246586,147.4774895,85.77566964,57.10839769,103.8080226,,,,HEART,PROT,HUMAN
AL9A1_HUMAN,4 trimethylaminobutyraldehyde dehydrogenase OS Homo sapiens GN ALDH9A1 PE 1 SV 3,2,1,12.91,0.523942631,0.264802319,1.24547065,0.098079135,1;4,2,HCM,Control,169.2698599,182.6399141,180.4691032,197.3719155,161.6550971,209.2676897,155.3319762,228.1128894,138.4704798,230.6185268,176.8977839,140.0361192,206.1272733,150.910292,493.6770443,441.2465627,151.8082295,,,,HEART,PROT,HUMAN
PEBP1_HUMAN,Phosphatidylethanolamine binding protein 1 OS Homo sapiens GN PEBP1 PE 1 SV 3,34,23,146.44,0.531894596,0.266834905,1.04468978,0.096201386,2;4;5;6;7;8;9;10,8,HCM,Control,12176.95182,8779.854272,10246.56238,12116.00012,8533.266803,12172.89224,11503.65405,12378.72346,8499.505897,12191.60848,10810.16126,10526.53781,10469.8711,11282.25804,13828.96121,11686.49958,9448.044931,,,,HEART,PROT,HUMAN
1433E_HUMAN,14 3 3 protein epsilon OS Homo sapiens GN YWHAE PE 1 SV 1,20,12,128.61,0.539006034,0.269738111,1.05128702,0.094568006,4;5;6;7;8;9,6,HCM,Control,2717.524815,2639.095331,2840.813796,3391.145263,3144.664403,3172.243028,2913.306525,3094.419029,2469.385327,3507.38452,3610.583064,2589.607598,2886.378507,3217.96022,2705.333793,3539.130613,3976.821213,,,,HEART,PROT,HUMAN
K1C10_HUMAN;K1C13_HUMAN;K1C14_HUMAN;K1C16_HUMAN;K1H1_HUMAN;KRT35_HUMAN;KT33B_HUMAN,Keratin type I cytoskeletal 10 OS Homo sapiens GN KRT10 PE 1 SV 6,12,11,54.02,0.547505934,0.272120574,1.47430056,0.092670944,10;11,2,HCM,Control,533.4959677,472.5542884,701.2715568,460.6249176,383.5205526,488.4796802,995.2054318,833.5792312,1210.250297,267.1212024,328.9183544,346.5039871,280.5545905,1609.727926,1517.216138,346.1533728,481.3945629,,,,HEART,PROT,HUMAN
PGK1_HUMAN,Phosphoglycerate kinase 1 OS Homo sapiens GN PGK1 PE 1 SV 3,68,38,292.78,0.548830531,0.272120574,1.03684277,0.092380618,1;3;4;5;6;7;8;9;10,9,HCM,Control,18312.06696,18058.35703,17144.03811,21903.85387,15159.5908,20345.88572,19321.53303,19360.24315,15418.7181,20474.30808,16701.08403,20210.40463,17767.62033,18369.56729,22961.07668,18504.67468,21763.41196,,,,HEART,PROT,HUMAN
TNNT1_HUMAN,Troponin T slow skeletal muscle OS Homo sapiens GN TNNT1 PE 1 SV 4,3,1,26.33,0.550446989,0.272120574,1.19725140,0.092028233,1;3;4,3,HCM,Control,73.0909548,153.3955104,110.9930268,66.05965524,84.24615569,68.17178429,175.0877353,120.6657681,100.9750921,43.86425418,74.07839953,162.8162174,128.0878673,69.86352477,197.1389818,71.09441254,76.6318108,,,,HEART,PROT,HUMAN
ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2 OS Homo sapiens GN AKR7A2 PE 1 SV 3,1,1,0,0.556504847,0.274449216,1.09871754,0.090726132,9,1,HCM,Control,290.2536244,150.5361133,189.0663496,182.7025336,181.8918784,219.3341798,196.7480627,139.5640509,150.3483351,247.7198059,207.7613797,201.2203905,195.6896961,286.5865038,183.9497089,348.0869575,287.2703795,,,,HEART,PROT,HUMAN
PARK7_HUMAN,Protein DJ 1 OS Homo sapiens GN PARK7 PE 1 SV 2,23,18,169.16,0.563761256,0.276687936,1.03323884,0.089204186,1;3;4;5;6;7;8;9;10,9,HCM,Control,7321.812715,5784.068646,6160.956527,7219.376055,6322.304037,7501.047058,6407.144984,6293.830133,5954.094434,8144.529498,7283.580327,6339.771678,7357.86444,6505.945363,7694.106441,7905.87099,6470.510128,,,,HEART,PROT,HUMAN
CLIC1_HUMAN,Chloride intracellular channel protein 1 OS Homo sapiens GN CLIC1 PE 1 SV 4,1,1,6.63,0.579335382,0.282290892,1.05634802,0.086072197,7,1,HCM,Control,109.9981286,84.73870746,105.5144475,157.5372535,136.154576,154.3061497,109.9745651,115.512968,76.21539758,236.2664141,134.5742789,120.3974956,98.0030089,232.3819551,105.1822983,220.5796051,0,,,,HEART,PROT,HUMAN
KCRU_HUMAN,Creatine kinase U type mitochondrial OS Homo sapiens GN CKMT1A PE 1 SV 1,9,3,62.74,0.585067696,0.284403666,1.04922519,0.084964151,9;10;11;12,4,HCM,Control,148.270078,90.15790404,79.78300699,83.75544958,102.7225596,38.19896887,148.99522,67.86041346,76.54706664,83.68217253,91.07571319,80.67483239,122.7881882,66.93769158,89.02756617,114.3920947,102.3072109,,,,HEART,PROT,HUMAN
TBCEL_HUMAN,Tubulin specific chaperone cofactor E like protein OS Homo sapiens GN TBCEL PE 2 SV 2,1,1,13.42,0.594611314,0.28635917,1.17124771,0.083170997,9,1,HCM,Control,610.0811121,380.015896,553.0382275,570.6226384,472.9588692,387.97484,692.2290989,621.7568988,464.0976681,676.230387,649.93162,540.764412,154.622912,679.5601244,502.813737,844.6758558,560.835264,,,,HEART,PROT,HUMAN
SRCH_HUMAN,Sarcoplasmic reticulum histidine rich calcium binding protein OS Homo sapiens GN HRC PE 2 SV 1,9,6,31.15,0.60758713,0.289816953,1.07141361,0.080833331,1,1,HCM,Control,1030.186419,1603.762398,739.2521041,812.0180409,689.5845338,1000.516798,752.952708,1160.317051,863.6447876,1165.360545,1230.080566,666.0430687,679.1378735,1002.031576,1489.670775,1361.029776,1170.377812,,,,HEART,PROT,HUMAN
MIF_HUMAN,Macrophage migration inhibitory factor OS Homo sapiens GN MIF PE 1 SV 4,1,1,7.69,0.629659265,0.29634053,1.13179264,0.077110628,8,1,HCM,Control,285.9659596,481.9099535,49.88478943,500.1264978,235.3329409,389.7888649,24.75387863,169.8359517,613.730366,625.4252952,389.2278778,27.54841278,5.989543,552.7400258,850.7112269,349.3238092,422.3663254,,,,HEART,PROT,HUMAN
LG3BP_HUMAN,Galectin 3 binding protein OS Homo sapiens GN LGALS3BP PE 1 SV 1,1,1,6.9,0.62999319,0.29634053,1.13346880,0.077056676,5,1,HCM,Control,70.13147496,67.69771484,82.50203884,130.5077906,99.4356707,90.45854818,115.4259501,102.2206923,59.051934,120.8428079,91.53040846,75.70235567,52.16762862,135.5924858,145.7935295,63.83330555,161.4967059,,,,HEART,PROT,HUMAN
MCCA_HUMAN,Methylcrotonoyl CoA carboxylase subunit alpha mitochondrial OS Homo sapiens GN MCCC1 PE 1 SV 3,2,2,13.07,0.648575073,0.302982021,1.09744596,0.074161257,8,1,HCM,Control,257.3250751,143.2681983,25.75617529,215.8410957,225.8369362,245.0406869,160.2579741,116.5482642,148.5343956,181.4722072,255.286508,225.7618689,248.4397913,432.7771376,43.8987531,135.4576972,291.0410266,,,,HEART,PROT,HUMAN
KCRB_HUMAN,Creatine kinase B type OS Homo sapiens GN CKB PE 1 SV 1,41,24,233.91,0.654576043,0.304439001,1.05231465,0.073270001,1;2;3;4;5;6;7;8;9,9,HCM,Control,10672.98026,10664.00253,14358.63146,10429.28842,9604.349553,10285.48544,12767.63508,10311.47257,11408.13014,8618.475587,10508.69356,11044.57434,12419.41861,11108.95462,17648.82089,8849.899874,12672.43001,,,,HEART,PROT,HUMAN
