Protein IDs,Protein names,Gene names,TPA_WT1,TPA_WT2,TPA_WT3,TPA_WT4,TPA_ob1,TPA_ob2,TPA_ob3,TPA_ob4,Student's T-test Significant ob_lean,-Log Student's T-test p-value ob_lean,Student's T-test q-value ob_lean,Student's T-test Difference ob_lean,Student's T-test Test statistic ob_lean,Tissue,Ome,Species
B2KGA7;Q505B7;Q505B7-2;A8Y5E9,Protein archease,Zbtb8os,-14.05989456,-14.40700912,-13.99998283,-13.94478416,-17.04772568,-14.20557117,-15.04275703,-14.59914303,,0.884455561,0.260471562,-1.120881557,-1.514545974,LIVER,PROT,MOUSE
B2KGF0;Q8VEE0;M0QWJ2;A0A087WQM3;M0QWQ0,Ribulose-phosphate 3-epimerase,Rpe,-15.68313217,-15.51211739,-15.30319118,-14.45899963,-15.394701,-14.16921997,-14.76410198,-15.54470921,,0.268550169,0.714487231,0.271177053,0.525334446,LIVER,PROT,MOUSE
B2LVG5;B2LVG6;E0CXT7;Q8BQZ5-3;Q8BQZ5-2;F7B6Z5;Q8BQZ5;M0QWM8,Cleavage and polyadenylation specificity factor subunit 4,Cpsf4,-16.82299042,-18.65085602,-17.96317101,-17.96007538,-20.19172096,-18.18618965,-17.28103638,-17.59334946,,0.250398823,0.705094425,-0.463800907,-0.542133264,LIVER,PROT,MOUSE
B2M1R6;P61979-3;H3BKD0;H3BKI8;H3BJS9;Q8BT23;H3BLP7;H3BJ43;A0A286YE41,Heterogeneous nuclear ribonucleoprotein K,Hnrnpk,-23.13447571,-21.89285088,-22.74981308,-21.64137459,-20.68486404,-21.8456955,-18.04312706,-17.52866554,,1.380707073,0.09477707,2.829040527,2.36662852,LIVER,PROT,MOUSE
B2RQ71;E9PWR4;B7ZMZ7;A0A1Y7VMZ0,,Dip2c,-18.21447182,-18.31419563,-18.8663063,-16.98042107,-17.90019798,-17.13698959,-18.57159805,-20.5643959,,0.214689993,0.740372093,-0.449446678,-0.480442141,LIVER,PROT,MOUSE
B2RQE8,Rho GTPase-activating protein 42,Arhgap42,-15.55092239,-15.65786648,-16.49950409,-13.58558655,-15.99020863,-17.65873528,-16.51078987,-18.65613747,,1.149152028,0.161063032,-1.880497932,-1.962722618,LIVER,PROT,MOUSE
B2RQG2;A0A087WS81,,Phf3,-18.0458107,-17.77043152,-17.77628326,-17.0333519,-17.67968941,-16.99300575,-18.1657753,-18.22143555,,0.112294645,0.876099757,-0.108507156,-0.236828301,LIVER,PROT,MOUSE
B2RQL2,,Stox1,-19.84095955,-19.38638115,-18.83434868,-21.39012146,-19.9416275,-21.09919739,-17.37232399,-18.61938477,,0.253073062,0.698266695,0.604819298,0.561923163,LIVER,PROT,MOUSE
B2RQS1;Q9ERG2,Striatin-3,Strn3,-16.38474846,-16.16396713,-15.96815014,-16.83667755,-17.34124184,-16.3348484,-16.39049911,-16.1405983,,0.269050606,0.728743208,-0.213411093,-0.49976439,LIVER,PROT,MOUSE
B2RR83;A0A0J9YV44,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,-18.90307045,-18.58454895,-19.18756294,-17.57076836,-17.94882202,-19.19910812,-20.16348457,-18.3801651,,0.24392201,0.719793781,-0.36140728,-0.514795356,LIVER,PROT,MOUSE
B2RRF0;A0A1W2P7Y1;P35822,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase kappa,Ptprk,-17.28414726,-17.55927467,-17.57298851,-17.51040649,-16.64962769,-16.4442234,-17.14183807,-17.02445221,,2.046341702,0.090097561,0.666668892,2.419608503,LIVER,PROT,MOUSE
B2RSU6;Q6AW69-5;Q6AW69-4;Q6AW69;D3Z3H4;Q6AW69-3;Q6AW69-2,Cingulin-like protein 1,Cgnl1,-15.19084644,-15.06327724,-14.87790966,-15.45746994,-14.49621677,-14.59505272,-14.50436497,-14.7588892,,2.198797491,0.094829517,0.558744907,2.366178862,LIVER,PROT,MOUSE
B2RSU7;Q8CHG3;E9PWI6;E0CYI9;F6UT01;E0CY89;E0CX24,GRIP and coiled-coil domain-containing protein 2,Gcc2,-14.69100285,-14.93480492,-15.06429958,-14.25617599,-14.29911709,-14.28570843,-14.73443413,-14.92209625,,0.311227991,0.717803874,0.176231861,0.520140903,LIVER,PROT,MOUSE
B2RT14;D3Z748;Q6ZQM8;D3Z7G0;D3YZ96;G3UZC9;D6RH94,UDP-glucuronosyltransferase 1-7C,Ugt1a5;Ugt1a8;Ugt1a7c,-15.28850269,-14.7477169,-14.49336243,-16.7137146,-15.12877083,-15.52495003,-13.95713997,-13.48838997,,0.525558939,0.45252858,0.786011457,0.994784107,LIVER,PROT,MOUSE
B2RT41,,Zfc3h1,-17.96011925,-18.23368454,-18.20520782,-20.39861488,-23.07546425,-21.83624268,-16.16353226,-16.8776207,,0.166636354,0.782715949,-0.788808346,-0.408909268,LIVER,PROT,MOUSE
B2RT54,,Apol7a,-18.65458298,-19.9688015,-19.60574532,-19.28987503,-19.58254242,-22.36774254,-20.55867004,-21.75478554,,1.318998577,0.122457084,-1.686183929,-2.16004604,LIVER,PROT,MOUSE
B2RUE8;A0A0A6YWM8;B7ZNR9;A0A0A6YWR8;F8VPL5;E9PVG7;A0A0A6YW53;P97820;A0A0A6YVZ8;E0CZF8;E0CZD7;E0CXD6;E0CY98;E9PUL9;B9EKN8;B2RQ80;P83510-2;P83510;E0CYV5;A0A0A6YVR7;A0A0A6YWJ2;A0A0A6YXE5,Mitogen-activated protein kinase kinase kinase kinase 4;Traf2 and NCK-interacting protein kinase,Map4k4;Tnik,-20.89096451,-19.40866852,-21.60384941,-21.66826439,-18.25572014,-19.56657028,-19.8482666,-19.02028275,,1.462764102,0.097165195,1.720226765,2.351709495,LIVER,PROT,MOUSE
B2RUJ2;B7ZNX6;Q80TH2-1;Q80TH2;Q80TH2-2,Protein LAP2,Erbb2ip,-15.88415241,-16.26666451,-16.01078033,-16.76383591,-16.79259109,-15.2166748,-16.6553421,-17.04924011,,0.167194815,0.812220534,-0.197103739,-0.354700703,LIVER,PROT,MOUSE
B2RUR8;H3BKW8;Q8R554,OTU domain-containing protein 7B,Otud7b,-21.4078064,-21.68894768,-21.75727463,-18.45184708,-18.58706474,-19.78845024,-19.96899223,-19.88730049,,0.720489504,0.320647458,1.268517017,1.322371579,LIVER,PROT,MOUSE
B2RVL6,Zinc finger CCHC domain-containing protein 24,Zcchc24,-19.27946281,-18.9575386,-18.64329338,-19.0699234,-19.08196068,-17.04305267,-18.49578094,-19.72717667,,0.283064802,0.686364494,0.40056181,0.582237903,LIVER,PROT,MOUSE
B2RXC1;B2RXC1-2,Trafficking protein particle complex subunit 11,Trappc11,-16.51701355,-16.48967361,-16.45785904,-16.15341187,-16.54190445,-16.15699196,-17.128582,-16.63380432,,0.4332392,0.637302112,-0.210831165,-0.665093712,LIVER,PROT,MOUSE
B2RXC2,,Itpkb,-21.80155563,-20.92843246,-21.80779076,-19.24337006,-18.52579308,-18.52235603,-21.6605587,-19.88858795,,0.648218334,0.353829706,1.295963287,1.225147886,LIVER,PROT,MOUSE
B2RXQ4;B7ZWK0;B2RXX0;P51954,Serine/threonine-protein kinase Nek1,Nek1,-19.76138687,-21.12783623,-19.64254951,-19.58983231,-20.88828278,-21.14930344,-20.90372849,-21.97830772,,1.435001215,0.117261603,-1.199504375,-2.187943178,LIVER,PROT,MOUSE
B2RXS4,Plexin-B2,Plxnb2,-13.84935951,-13.82435608,-13.88990974,-14.25646114,-14.72573471,-14.53976345,-14.57740879,-14.81830978,+,2.97761949,0.03397151,-0.710282564,-3.223011324,LIVER,PROT,MOUSE
B2RXW8;B2RXQ2;F7CYX4;B8QI34;Q8BSS9;A0A087WPJ3;A0A087WPM2;B8QI36,,Ppfia1,-16.79261017,-16.50291634,-16.95778084,-16.87874413,-16.61667824,-18.41939735,-19.37291908,-17.24525642,,0.925605345,0.245206765,-1.130549908,-1.567345786,LIVER,PROT,MOUSE
B2RXZ2,,Cyp2a22,-22.0977726,-20.10404968,-22.48913383,-21.67559814,-17.23903275,-18.29266548,-14.91909409,-14.88615608,+,2.716612941,0.009423077,5.257401466,4.773077554,LIVER,PROT,MOUSE
B2RY04,Dedicator of cytokinesis protein 5,Dock5,-18.62444305,-18.27062225,-18.7888031,-16.53257561,-16.55103302,-17.12911034,-20.67297935,-18.08253479,,0.017725632,0.977797933,-0.054803371,-0.047722454,LIVER,PROT,MOUSE
B2RY56;S4R2B0;S4R2A4;S4R2J1;S4R1X9;S4R2F7,RNA-binding protein 25,Rbm25,-15.21678448,-15.18048477,-15.21296024,-14.56677914,-15.1187315,-15.02906513,-15.24400902,-16.14196396,,0.516481295,0.535784308,-0.339190245,-0.843532974,LIVER,PROT,MOUSE
B2Z892;Q6GTL7;P70265;A0A087WRG0;A0A087WRM7;B2Z893;B2Z894;B2Z891,6-phosphofructo-2-kinase/fructose-2.6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2.6-bisphosphatase,Pfkfb2,-21.54025841,-20.9621315,-20.65237045,-18.71498871,-19.68925285,-20.75324249,-20.51029968,-20.91679382,,1.99E-05,0.99993364,4.01E-05,5.20E-05,LIVER,PROT,MOUSE
B2ZAC8;Q8R3L2;A0A1D5RM90;Q8R3L2-4;Q8R3L2-3;Q8R3L2-2;Q8R3L2-5;A0A1D5RLU0,Transcription factor 25,Tcf25,-14.9913311,-16.95732307,-17.31520081,-16.50038719,-16.2790699,-14.70024776,-14.6071682,-14.99532604,,1.046867105,0.200156395,1.295607567,1.74832101,LIVER,PROT,MOUSE
B5THE2;Q6XK23,,Mgam,-18.1549263,-18.17937279,-17.91150475,-17.83633995,-16.62880135,-16.93950653,-16.98168182,-17.24164772,+,3.387189967,0.011794872,1.072626591,4.25099838,LIVER,PROT,MOUSE
B5X0G2;A2CEK6;L7N222,Major urinary protein 17,Mup17;Mup13,-15.07238865,-14.62891293,-14.73336124,-17.01571465,-16.40678978,-21.89403534,-22.18366623,-21.88252258,+,1.879062934,0.033545723,-5.229159117,-3.259106946,LIVER,PROT,MOUSE
B7FAU9;Q8BTM8;B7FAV1;F6XC15;J3JS91;F6Z2C0;Q8BTM8-2;F7AVL7,Filamin-A,Flna,-12.07788467,-11.64867496,-11.72244644,-12.54778671,-11.42947674,-11.2432766,-11.01039696,-11.59980106,,1.513144365,0.154460733,0.67846036,1.987968678,LIVER,PROT,MOUSE
B7ZC46;B1AQY9;B1AQZ0;Q8CHH9;Q8CHH9-2,Septin-8,8-Sep,-15.52399826,-13.94348145,-15.53689671,-21.04326057,-21.26251411,-17.83865356,-17.91733551,-15.71712494,,0.376598251,0.548690167,-1.671997786,-0.822674733,LIVER,PROT,MOUSE
B7ZCB8;F7CJY7;F6X4N5;Q8BVI5;B7ZCB7;B7ZCB9,Syntaxin-16,Stx16,-18.83362007,-18.72411919,-18.66208076,-19.77849007,-20.87892342,-19.62175179,-19.91661263,-18.54529762,,0.648877968,0.387981501,-0.74106884,-1.144967363,LIVER,PROT,MOUSE
B7ZCC2,,Aim1l,-16.61449432,-17.38489723,-17.76387024,-21.61663818,-19.08906364,-19.35581017,-15.73448944,-17.062603,,0.144088174,0.81260544,0.534483433,0.354014824,LIVER,PROT,MOUSE
B7ZCF1;O88685;A2AGN7;F6Q2E3,26S protease regulatory subunit 6A,Psmc3,-11.67477512,-11.66165638,-11.41266346,-13.48933697,-13.04342175,-13.53699589,-11.85650635,-11.48384476,,0.251649621,0.707786754,-0.420584202,-0.537689083,LIVER,PROT,MOUSE
B7ZCF6;B7ZCF7;Q8BR93-2;Q8BR93-3;Q8BR93,Putative nuclease HARBI1,Harbi1,-24.7258625,-24.41825485,-24.64968681,-20.929142,-20.43302536,-21.80175591,-22.05167389,-23.12195206,,0.856317414,0.247044324,1.828634739,1.558986289,LIVER,PROT,MOUSE
B7ZCI2;A0A1B0GXL1;B7ZCI3;Q3TR73;Q0II04,,Nebl,-14.86808681,-15.37616348,-15.46087551,-13.71949577,-15.37034607,-15.22337627,-16.55910492,-16.84543228,,1.029166727,0.213556811,-1.143409491,-1.696182533,LIVER,PROT,MOUSE
B7ZCJ0;B7ZCJ1;Q6DFV3;A0A0A0MQE8;G3UWM5;F6WQR2;A2BHQ2;G3UX38,Rho GTPase-activating protein 21,Arhgap21,-19.54074669,-20.37314606,-19.25101089,-18.49694252,-18.92082405,-19.0611763,-19.24693871,-20.57645607,,0.022504707,0.973467705,-0.035887241,-0.055767426,LIVER,PROT,MOUSE
B7ZCN0;B7ZCM9;P0C872;D6RGQ7;E0CXG8;B7ZCM8;P0C871,JmjC domain-containing protein 7,Gm28042;Jmjd7,-19.60491562,-21.09780502,-22.46513367,-18.24755287,-18.20183372,-22.82309914,-18.73414993,-21.86735535,,0.012164324,0.983639414,-0.05275774,-0.033781675,LIVER,PROT,MOUSE
B7ZCU4;B7ZCU3;B7ZCU0;Q8CBW3-2;Q8CBW3-4;Q8CBW3-3;Q8CBW3;B7ZCU2;B7ZCU5;J3QNK8;Q8CBW3-5;A0A087WRS3;A0A087WPP8;Q6AXH6;Q6AXD2;P62484;A0A087WNT3;A0A087WR90;A0A087WP64;A0A087WPE6;A0A087WNU9,Abl interactor 1,Abi1,-15.94867516,-15.51366234,-16.22213554,-16.19613266,-16.75831413,-16.63710022,-15.61247826,-15.72281742,,0.254612807,0.740184772,-0.212526083,-0.481586311,LIVER,PROT,MOUSE
B7ZDD7;B7ZDD8,,Crat,-21.81408119,-22.47670937,-21.15958023,-21.28139687,-18.35010147,-17.16024017,-18.66164398,-18.99892616,+,3.297110787,0.005548387,3.390213966,5.647968287,LIVER,PROT,MOUSE
B7ZMP1;B7ZMP1-2;E9Q1R1,Probable Xaa-Pro aminopeptidase 3,Xpnpep3,-16.19597054,-15.45098686,-15.41228485,-15.65748596,-16.08979607,-16.29927635,-15.37101269,-16.02927208,,0.445225127,0.604189412,-0.268157244,-0.725031466,LIVER,PROT,MOUSE
B7ZMU0;Q8C5X2;Q8CCA0;D3Z664;D3Z4A7;D3Z7G2,DCN1-like protein;DCN1-like protein 4,Dcun1d4,-21.33234596,-21.74282646,-21.44651604,-19.63656235,-19.09332657,-19.05733109,-20.82397652,-20.29512787,,0.963441823,0.22897481,1.222122192,1.631207935,LIVER,PROT,MOUSE
B7ZNH7;K3W4R4;F7D5Y4,,Col14a1,-14.12450695,-14.66161537,-13.70349884,-14.36231422,-10.9783411,-11.3340559,-11.35245609,-11.70401955,+,4.574384558,0.002526316,2.870765686,8.184864802,LIVER,PROT,MOUSE
B7ZNJ5;G3X907;Q9WTS6-2;Q9WTS6,Teneurin-3,Tenm3,-21.61256027,-22.24308968,-20.70124245,-21.95302582,-20.90718842,-21.34609222,-19.61028671,-21.42688942,,0.733982924,0.340999204,0.80486536,1.26371972,LIVER,PROT,MOUSE
B7ZNL2;Q78ZA7;A0A140LJB5;A0A140LJ37;A0A140LI78,Nucleosome assembly protein 1-like 4,Nap1l4,-14.04825592,-13.60878086,-13.54954338,-14.80707073,-14.54085922,-14.46440697,-13.70433998,-13.70338821,,0.098650632,0.890892288,-0.099835873,-0.212022815,LIVER,PROT,MOUSE
B7ZNP0;A0A087WQK5;A0A087WR24;Q2HXL6,alpha-1.2-Mannosidase;ER degradation-enhancing alpha-mannosidase-like protein 3,Edem3,-20.38589668,-19.8838768,-20.47702599,-21.8920002,-22.62722969,-20.9176712,-21.60713959,-21.41035652,,0.88251874,0.270552764,-0.980899334,-1.483571449,LIVER,PROT,MOUSE
B7ZNP3;Q3V4B5,COMM domain-containing protein 6,Commd6,-15.87764931,-16.04342842,-16.28425407,-15.94962502,-16.198246,-16.43637276,-16.30358887,-16.48236465,,1.555276023,0.262229542,-0.316403866,-1.509278425,LIVER,PROT,MOUSE
B7ZP47;Q65Z40;F6YCH1;G3UXQ2,Wings apart-like protein homolog,Wapal,-15.38293457,-15.69519043,-15.17650986,-13.72633648,-16.05134392,-15.56795597,-16.46263313,-16.78020859,,1.271686842,0.151595027,-1.220292568,-2.003637459,LIVER,PROT,MOUSE
B7ZWM8;B2RXP1;E9QAU9;Q8BVU0;E9Q0H5;E9Q892,Leucine-rich repeat and calponin homology domain-containing protein 3,Lrch3,-21.19711685,-20.85454178,-20.45533943,-21.45098495,-22.10871887,-21.5578804,-22.38848495,-20.25025177,,0.518104669,0.47796652,-0.586838245,-0.944480883,LIVER,PROT,MOUSE
B8JI96,,Mup14,-14.22829056,-14.56405449,-14.5595293,-18.23449326,-19.15881348,-22.17051697,-20.33042717,-22.50764847,+,2.420415451,0.011677019,-5.645259619,-4.2303583,LIVER,PROT,MOUSE
B8JJ66;B8JJ69;B8JJ67;F6X1P1,,2310061I04Rik,-19.38582802,-19.39853287,-19.71330833,-20.57653236,-18.41243935,-18.25425911,-18.3743,-18.38277626,+,2.614893857,0.016806584,1.412606716,3.698529407,LIVER,PROT,MOUSE
B8JJN0;F6VQX8;B8JJM5;P04186;F6XQ00;B8JJM6;H3BK95;F6W2T4;B8JJM3;B8JJM9;F6WZA2,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,Gm20547;Cfb,-14.03277779,-13.81848717,-13.82412529,-14.48639774,-14.34540462,-14.13523006,-13.39744282,-13.09265423,,0.387735108,0.626805231,0.297764063,0.683074336,LIVER,PROT,MOUSE
B8JK39;E9QAP0;F7DB81,Integrin alpha-9,Itga9,-17.73951721,-17.65215111,-17.72535706,-17.05622292,-17.12384415,-18.06054878,-17.56051254,-17.99200058,,0.205731546,0.797589928,-0.14091444,-0.379019683,LIVER,PROT,MOUSE
B9EHJ3;P39447;A0A0U1RPW2;A0A0U1RPB2,Tight junction protein ZO-1,Tjp1,-12.66493225,-12.95623684,-12.82111168,-12.61589336,-12.98400784,-12.92007256,-12.78411961,-12.78829765,,0.524490816,0.703996698,-0.104580879,-0.544756009,LIVER,PROT,MOUSE
B9EHN5;Q3T9X0;Q99JJ2;Q7TSK9;D6REU9,,Slc2a9,-14.4538784,-14.91824913,-14.53639221,-14.55390644,-15.23792553,-15.13123322,-15.27532387,-15.51090431,+,2.676312047,0.048765591,-0.673240185,-2.919186203,LIVER,PROT,MOUSE
B9EIX2;Q80U49;Q80U49-2,Centrosomal protein of 170 kDa protein B,Cep170b,-20.52330971,-21.36116409,-19.29706764,-19.2185936,-22.53829384,-18.43835068,-18.38435555,-19.05387878,,0.172527367,0.782565522,0.496314049,0.408092662,LIVER,PROT,MOUSE
B9EJ54;A0A0J9YUD5;E9Q880,,Nup205,-15.06021786,-15.26817799,-14.7667942,-14.9303112,-15.01861668,-15.05889702,-15.51924801,-15.49789429,,0.764761336,0.458695018,-0.267288685,-0.981472798,LIVER,PROT,MOUSE
B9EJ80,,Pdzd8,-17.07162666,-17.35197258,-17.24305534,-16.90059853,-17.93525505,-18.3998661,-17.15590668,-16.66547394,,0.444230526,0.564815905,-0.397312164,-0.793724695,LIVER,PROT,MOUSE
B9EJ86;A0A0R4J150,Oxysterol-binding protein,Osbpl8,-16.52745628,-16.22016144,-16.24341011,-16.01188469,-15.78457928,-15.8124361,-15.93866444,-15.87204933,,1.935638682,0.175474843,0.398795843,1.887398458,LIVER,PROT,MOUSE
B9EJR8;B2RY24,Dynein assembly factor 5. axonemal,Dnaaf5,-20.1807251,-20.83688736,-20.50343513,-19.50585175,-23.12666893,-21.98563766,-18.97875786,-19.74489021,,0.291771174,0.655526245,-0.702263832,-0.635653669,LIVER,PROT,MOUSE
B9EKI3;D6RJK7,TATA element modulatory factor,Tmf1,-18.22162056,-18.53980637,-18.30392456,-17.27907562,-18.07768059,-16.93078041,-17.06936646,-16.37953568,,1.130903941,0.197429544,0.971765995,1.767850465,LIVER,PROT,MOUSE
B9EKS2;Q6ZPY7;A0A286YDJ6;Q6ZPY7-2;Q6PCM1-2,Lysine-specific demethylase 3B,Kdm3b,-17.32195091,-16.36137199,-17.21826744,-16.42434502,-16.3182373,-15.89223671,-17.10222435,-16.86417389,,0.32781864,0.67192818,0.287265778,0.607719433,LIVER,PROT,MOUSE
C0HKD9;C0HKD8,,,-16.7859726,-16.70067787,-16.51236725,-15.83705425,-15.76809406,-15.8820076,-16.74809074,-17.06975555,,0.086456673,0.904010055,0.092031002,0.1893628,LIVER,PROT,MOUSE
C0HKG6;C0HKG5,,,-15.3965292,-15.52495003,-14.97624683,-14.4271965,-15.73867989,-16.88191605,-15.75570107,-16.103405,,1.534855516,0.110450331,-1.038694859,-2.236338753,LIVER,PROT,MOUSE
C5NSA7,Tryptophan 2.3-dioxygenase,Tdo2,-17.64014816,-18.37506485,-17.94744682,-17.88804245,-17.98497581,-17.25220108,-18.91767693,-18.15031433,,0.112553282,0.874071672,-0.113616467,-0.239570465,LIVER,PROT,MOUSE
D3YTN1,,Kpna4,-19.42282486,-19.64949608,-19.26440239,-18.34080887,-18.51780701,-17.86206245,-22.16475105,-19.4036274,,0.119734377,0.848026347,-0.317678928,-0.291604392,LIVER,PROT,MOUSE
D3YTN4;Q99JY3;D3YWB5;D6RGS2;D3Z3F3;D3Z7Q4,GTPase IMAP family member 4,Gimap4,-14.39107609,-14.11620617,-13.96326542,-14.39531994,-13.83636761,-14.09266949,-14.42832756,-14.08045959,,0.273397212,0.782511731,0.107010841,0.408803425,LIVER,PROT,MOUSE
D3YTP3;A0A286YDW3,,Mtx3,-18.87234497,-19.60466385,-18.82465172,-16.77311707,-17.56099701,-18.1197319,-17.39736557,-18.21326637,,0.495455276,0.481053738,0.695854187,0.938692135,LIVER,PROT,MOUSE
D3YTQ6;D3Z4I0;D3Z3Y1,,Pigg,-20.30697632,-20.04020882,-19.89027023,-19.69456863,-21.65710449,-20.94864464,-20.36569405,-20.7072773,,1.674503026,0.100176687,-0.936674118,-2.328257171,LIVER,PROT,MOUSE
D3YTQ9,,Rps15,-13.14186573,-13.7597456,-13.86862469,-12.99500084,-12.80730247,-12.78479099,-12.44152832,-13.66425037,,0.746631869,0.376048369,0.516841173,1.174834094,LIVER,PROT,MOUSE
D3YTR6;Q8R0G7,Protein spinster homolog 1,Spns1,-22.14185143,-21.92119026,-20.04928207,-18.68973541,-19.92217827,-20.55894089,-20.08694267,-22.34194374,,0.009169392,0.988671384,-0.026986599,-0.024789636,LIVER,PROT,MOUSE
D3YTT6;Q9DBS9;D3Z194;F8WH20;A0A0N4SVU7;D3YVF7,Oxysterol-binding protein;Oxysterol-binding protein-related protein 3,Osbpl3,-22.48092651,-21.54383087,-21.85806084,-21.35175514,-16.04752731,-15.64042187,-16.20027733,-15.68609619,+,6.111160714,0,5.915062666,15.46120088,LIVER,PROT,MOUSE
D3YTU2;Q3U0K8-2;Q3U0K8-3;Q3U0K8,Prolyl 3-hydroxylase OGFOD1,Ogfod1,-18.59454918,-18.3262825,-18.48941612,-19.59864807,-19.05618095,-18.73973465,-20.39156342,-18.80680466,,0.464776318,0.530700706,-0.496346951,-0.85265016,LIVER,PROT,MOUSE
D3YU12;Q8K2T1;G5E8S7;Q8K2T1-2;Q8K2T1-3,NmrA-like family domain-containing protein 1,Nmral1,-15.96751213,-15.60035038,-15.35398865,-16.02716064,-16.66817474,-16.67916107,-18.0781517,-17.51095581,+,2.124621171,0.038652632,-1.496857882,-3.127615496,LIVER,PROT,MOUSE
D3YU17;Q8VCM8;F6S731,Nicalin,Ncln,-13.93651581,-13.7859726,-13.62334442,-12.90254688,-12.67590714,-12.69819832,-13.4476347,-13.59837532,,0.656950289,0.427281016,0.457066059,1.052899055,LIVER,PROT,MOUSE
D3YU39;F7DAN4;D6RCW3;D3Z6W4;Q8C025-3;Q8C025-2,,Chpt1,-19.03284073,-19.27660179,-19.37725449,-17.82025337,-17.62991333,-17.46102905,-18.22810936,-19.81275749,,0.405667004,0.562778784,0.593785286,0.796753352,LIVER,PROT,MOUSE
D3YU42;Q9CQ04;A0A0G2JFV1;A0A0G2JGU2;A0A0G2JEF0,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,Ogfod2,-19.73289871,-19.97197723,-20.50078964,-17.79861641,-21.1157856,-17.73924828,-19.11614037,-20.2013588,,0.015194112,0.980792916,-0.042062759,-0.040595967,LIVER,PROT,MOUSE
D3YU58;Q9WVM3,Anaphase-promoting complex subunit 7,Anapc7,-18.65027428,-19.60048294,-20.10473061,-20.61843872,-19.77334785,-19.5567894,-21.86977196,-20.15733719,,0.387828232,0.57720233,-0.595829964,-0.771758743,LIVER,PROT,MOUSE
D3YUC5;Q80TD3,Folliculin-interacting protein 2,Fnip2,-21.06748772,-20.86436844,-21.29834747,-22.30507469,-18.54365921,-18.30934143,-22.33877754,-20.69198036,,0.678035534,0.335539638,1.412879944,1.277177835,LIVER,PROT,MOUSE
D3YUE4;A0A286YD01,,Fam151b,-20.02104759,-19.45587158,-19.00699043,-19.12511253,-17.92917633,-17.449049,-19.85587692,-18.35476494,,0.896132508,0.263336756,1.005038738,1.505390971,LIVER,PROT,MOUSE
D3YUI7;E9Q8Y0;P51667;D3Z0I3;D3YW14;F6XCE3;A0A0G2JE15;F6RBQ5;Q62082-3;Q62082-2;Q62082,Myosin regulatory light chain 2. ventricular/cardiac muscle isoform,Myl2,-20.45592499,-22.16033554,-21.37508202,-14.18322277,-19.82749939,-15.44197464,-20.26999664,-23.2996254,,0.023265626,0.970763731,-0.166132689,-0.065515341,LIVER,PROT,MOUSE
D3YUM1;Q91YT0;D3Z1U9;D3Z0K1;D3YXX5;D6RG60,NADH dehydrogenase [ubiquinone] flavoprotein 1. mitochondrial,Ndufv1,-11.33561707,-11.30896378,-11.36986065,-11.67357254,-11.65134525,-11.77032566,-11.50172234,-11.25811768,,0.387694987,0.719566981,-0.123374224,-0.515790408,LIVER,PROT,MOUSE
D3YUN2;D3YUM7;Q8K4P7-3;Q99M96-7;Q99M96-9;Q99M96-4;Q99M96-6;Q99M96-8;Q99M96-5;Q99M96-3;Q8K4P7;Q99M96-2;Q99M96;A0A0G2JEN7;Q8K4P7-2,Suppressor of tumorigenicity 7 protein-like;Suppressor of tumorigenicity 7 protein,St7;St7l,-21.65680885,-21.034235,-20.64398766,-21.59710121,-22.75788879,-19.63469124,-22.21347427,-21.00768471,,0.083936947,0.895663706,-0.170401573,-0.204188724,LIVER,PROT,MOUSE
D3YUP1;Q9WVG6-2;Q9WVG6;D6RFA7,Histone-arginine methyltransferase CARM1,Carm1,-15.799263,-15.83645439,-15.99215412,-16.2933445,-16.65557098,-17.82758331,-16.86869812,-16.4657383,,1.630132649,0.102419048,-0.974093676,-2.304552877,LIVER,PROT,MOUSE
D3YUP5,,Exoc3l2,-19.08198547,-19.11458397,-18.86897659,-18.06024933,-17.87430954,-18.47367477,-18.73292923,-19.49869537,,0.12229536,0.863695566,0.136546612,0.263997755,LIVER,PROT,MOUSE
D3YUS5;E9PW37,,Rasal2,-19.0490036,-19.9783535,-19.68617058,-18.38556099,-18.61987305,-18.19521141,-19.36652756,-20.15633965,,0.127918495,0.849907236,0.190284252,0.289032747,LIVER,PROT,MOUSE
D3YUW8;D3YUX1;Q0VGT3;Q8BZH4,Pogo transposable element with ZNF domain,Pogz,-20.98345566,-19.6359272,-20.16136932,-23.38329697,-19.95615196,-18.59900475,-18.84787178,-20.72845459,,0.771273298,0.291461682,1.508141518,1.415357418,LIVER,PROT,MOUSE
D3YUX2;Q8VBX6-2;Q8VBX6;Q8VBX6-4;B2RQR2;F7D0H8;A3KG84;A3KG82;A3KG83,Multiple PDZ domain protein,Mpdz,-16.62796974,-15.8472662,-16.16360664,-17.53408241,-17.47319984,-17.35215759,-17.32554054,-16.84248734,,0.911456661,0.284833333,-0.70511508,-1.431461962,LIVER,PROT,MOUSE
D3YV16;Q923S9;A0A140LHW9,Ras-related protein Rab-30,Rab30,-19.00632858,-19.52066231,-19.305233,-18.31749916,-17.54769325,-16.57141495,-17.91148949,-18.40908623,,1.645075603,0.08048048,1.427509785,2.510002798,LIVER,PROT,MOUSE
