Uniprot ID,Entry name,Gene name,Protein name,SWATH_T2D,SWATH_IGT,SWATH_IFG,SWATH_NGT,ANOVA_p-value,ANOVA_q-value,Tissue,Ome,Species
Q9UBW8,CSN7A_HUMAN,COPS7A,COP9 signalosome complex subunit 7a,4.78E+04,6.78E+04,4.61E+04,5.85E+04,1.08E-02,4.86E-02,SKM-VL,PROT,HUMAN
P21291,CSRP1_HUMAN,CSRP1,Cysteine and glycine-rich protein 1,1.25E+05,1.07E+05,1.21E+05,1.26E+05,7.77E-01,8.57E-01,SKM-VL,PROT,HUMAN
P50461,CSRP3_HUMAN,CSRP3,Cysteine and glycine-rich protein 3,2.49E+06,2.34E+06,2.65E+06,2.73E+06,3.89E-01,5.55E-01,SKM-VL,PROT,HUMAN
Q13363,CTBP1_HUMAN,CTBP1,C-terminal-binding protein 1,7.48E+04,7.85E+04,9.17E+04,9.87E+04,9.80E-02,2.20E-01,SKM-VL,PROT,HUMAN
Q8IWA5,CTL2_HUMAN,SLC44A2,Choline transporter-like protein 2,2.77E+04,2.99E+04,3.19E+04,3.39E+04,2.94E-01,4.67E-01,SKM-VL,PROT,HUMAN
Q13616,CUL1_HUMAN,CUL1,Cullin-1,5.25E+05,3.58E+05,4.58E+05,5.87E+05,4.74E-02,1.34E-01,SKM-VL,PROT,HUMAN
Q13617,CUL2_HUMAN,CUL2,Cullin-2,2.81E+05,3.34E+05,3.54E+05,3.66E+05,4.37E-01,5.94E-01,SKM-VL,PROT,HUMAN
Q13618,CUL3_HUMAN,CUL3,Cullin-3,1.77E+05,1.60E+05,1.75E+05,2.08E+05,7.38E-02,1.81E-01,SKM-VL,PROT,HUMAN
Q13619,CUL4A_HUMAN,CUL4A,Cullin-4A,3.38E+05,5.08E+05,4.38E+05,4.48E+05,3.24E-01,4.98E-01,SKM-VL,PROT,HUMAN
Q93034,CUL5_HUMAN,CUL5,Cullin-5,3.93E+05,4.05E+05,4.00E+05,4.29E+05,4.20E-01,5.81E-01,SKM-VL,PROT,HUMAN
O60888,CUTA_HUMAN,CUTA,Protein CutA,1.80E+05,2.36E+05,2.07E+05,2.08E+05,7.19E-01,8.12E-01,SKM-VL,PROT,HUMAN
Q9NTM9,CUTC_HUMAN,CUTC,Copper homeostasis protein cutC homolog,1.86E+05,2.30E+05,1.88E+05,2.18E+05,3.78E-01,5.45E-01,SKM-VL,PROT,HUMAN
Q02221,CX6A2_HUMAN,COX6A2,"Cytochrome c oxidase subunit 6A2, mitochondrial",8.99E+04,5.69E+04,1.34E+05,1.27E+05,3.35E-04,3.88E-03,SKM-VL,PROT,HUMAN
P14854,CX6B1_HUMAN,COX6B1,Cytochrome c oxidase subunit 6B1,1.84E+06,1.87E+06,2.00E+06,2.34E+06,5.64E-06,1.73E-04,SKM-VL,PROT,HUMAN
P24310,CX7A1_HUMAN,COX7A1,"Cytochrome c oxidase subunit 7A1, mitochondrial",6.85E+05,7.28E+05,7.81E+05,9.31E+05,3.17E-06,1.13E-04,SKM-VL,PROT,HUMAN
P14406,CX7A2_HUMAN,COX7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial",2.16E+05,2.33E+05,2.53E+05,3.36E+05,3.73E-07,2.12E-05,SKM-VL,PROT,HUMAN
P02775,CXCL7_HUMAN,PPBP,Platelet basic protein,1.72E+04,2.91E+04,1.85E+04,2.71E+04,7.69E-02,1.86E-01,SKM-VL,PROT,HUMAN
P08574,CY1_HUMAN,CYC1,"Cytochrome c1, heme protein, mitochondrial",2.66E+06,2.71E+06,2.86E+06,3.48E+06,7.16E-07,3.70E-05,SKM-VL,PROT,HUMAN
P00156,CYB_HUMAN,MT-CYB,Cytochrome b,2.25E+05,2.39E+05,2.76E+05,3.36E+05,4.99E-08,6.82E-06,SKM-VL,PROT,HUMAN
P00167,CYB5_HUMAN,CYB5A,Cytochrome b5,1.48E+04,1.80E+04,1.94E+04,2.05E+04,3.58E-01,5.28E-01,SKM-VL,PROT,HUMAN
O43169,CYB5B_HUMAN,CYB5B,Cytochrome b5 type B,1.57E+05,2.04E+05,1.91E+05,1.86E+05,3.14E-01,4.88E-01,SKM-VL,PROT,HUMAN
Q9HB71,CYBP_HUMAN,CACYBP,Calcyclin-binding protein,1.63E+04,2.54E+04,1.94E+04,2.15E+04,4.18E-03,2.55E-02,SKM-VL,PROT,HUMAN
P99999,CYC_HUMAN,CYCS,Cytochrome c,1.16E+06,1.37E+06,1.34E+06,1.50E+06,1.12E-03,9.30E-03,SKM-VL,PROT,HUMAN
P04080,CYTB_HUMAN,CSTB,Cystatin-B,2.13E+05,2.46E+05,2.56E+05,2.72E+05,1.24E-03,9.89E-03,SKM-VL,PROT,HUMAN
Q8N465,D2HDH_HUMAN,D2HGDH,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",2.20E+05,1.19E+05,2.04E+05,2.05E+05,1.25E-01,2.61E-01,SKM-VL,PROT,HUMAN
Q9NRG7,D39U1_HUMAN,SDR39U1,Epimerase family protein SDR39U1,1.22E+05,1.65E+05,1.38E+05,1.50E+05,2.92E-01,4.65E-01,SKM-VL,PROT,HUMAN
P61803,DAD1_HUMAN,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,5.56E+04,7.02E+04,6.12E+04,5.56E+04,7.68E-01,8.49E-01,SKM-VL,PROT,HUMAN
Q14118,DAG1_HUMAN,DAG1,Dystroglycan,2.25E+05,2.05E+05,2.33E+05,2.28E+05,5.24E-01,6.63E-01,SKM-VL,PROT,HUMAN
Q96EP5,DAZP1_HUMAN,DAZAP1,DAZ-associated protein 1,5.96E+04,9.46E+04,6.86E+04,1.03E+05,6.13E-02,1.60E-01,SKM-VL,PROT,HUMAN
Q9NR28,DBLOH_HUMAN,DIABLO,"Diablo homolog, mitochondrial",1.62E+05,1.96E+05,1.72E+05,2.20E+05,1.54E-05,3.62E-04,SKM-VL,PROT,HUMAN
Q9UJU6,DBNL_HUMAN,DBNL,Drebrin-like protein,2.11E+06,1.93E+06,2.35E+06,1.33E+06,3.21E-01,4.96E-01,SKM-VL,PROT,HUMAN
Q13409,DC1I2_HUMAN,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2,1.55E+05,2.29E+05,1.75E+05,1.95E+05,5.16E-02,1.42E-01,SKM-VL,PROT,HUMAN
Q9Y6G9,DC1L1_HUMAN,DYNC1LI1,Cytoplasmic dynein 1 light intermediate chain 1,6.23E+03,1.18E+04,8.88E+03,1.10E+04,5.19E-02,1.42E-01,SKM-VL,PROT,HUMAN
O43237,DC1L2_HUMAN,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,1.16E+04,8.43E+03,9.68E+03,8.74E+03,6.33E-01,7.52E-01,SKM-VL,PROT,HUMAN
Q8TEB1,DCA11_HUMAN,DCAF11,DDB1- and CUL4-associated factor 11,4.66E+03,3.68E+03,3.78E+03,4.77E+03,4.21E-01,5.81E-01,SKM-VL,PROT,HUMAN
Q58WW2,DCAF6_HUMAN,DCAF6,DDB1- and CUL4-associated factor 6,2.00E+04,2.71E+04,2.87E+04,2.58E+04,3.33E-01,5.08E-01,SKM-VL,PROT,HUMAN
Q5TAQ9,DCAF8_HUMAN,DCAF8,DDB1- and CUL4-associated factor 8,9.27E+04,1.28E+05,1.02E+05,1.21E+05,2.75E-02,9.13E-02,SKM-VL,PROT,HUMAN
O95822,DCMC_HUMAN,MLYCD,"Malonyl-CoA decarboxylase, mitochondrial",2.30E+04,2.36E+04,2.09E+04,2.51E+04,8.27E-01,8.88E-01,SKM-VL,PROT,HUMAN
Q96GG9,DCNL1_HUMAN,DCUN1D1,DCN1-like protein 1,6.66E+04,9.99E+04,1.22E+05,1.06E+05,4.78E-02,1.34E-01,SKM-VL,PROT,HUMAN
Q14203,DCTN1_HUMAN,DCTN1,Dynactin subunit 1,1.36E+05,2.12E+05,1.49E+05,2.33E+05,3.38E-02,1.05E-01,SKM-VL,PROT,HUMAN
Q13561,DCTN2_HUMAN,DCTN2,Dynactin subunit 2,6.21E+05,6.42E+05,6.53E+05,6.81E+05,7.59E-01,8.43E-01,SKM-VL,PROT,HUMAN
Q9UJW0,DCTN4_HUMAN,DCTN4,Dynactin subunit 4,1.37E+05,1.35E+05,1.11E+05,1.41E+05,4.98E-01,6.43E-01,SKM-VL,PROT,HUMAN
Q9BTE1,DCTN5_HUMAN,DCTN5,Dynactin subunit 5,3.32E+03,4.91E+03,5.94E+03,5.47E+03,2.25E-02,8.08E-02,SKM-VL,PROT,HUMAN
Q9H773,DCTP1_HUMAN,DCTPP1,dCTP pyrophosphatase 1,5.25E+04,6.13E+04,5.70E+04,6.47E+04,3.49E-01,5.21E-01,SKM-VL,PROT,HUMAN
Q7Z4W1,DCXR_HUMAN,DCXR,L-xylulose reductase,3.67E+05,4.48E+05,4.78E+05,5.22E+05,3.06E-03,2.02E-02,SKM-VL,PROT,HUMAN
Q9NUU7,DD19A_HUMAN,DDX19A,ATP-dependent RNA helicase DDX19A,3.91E+05,6.53E+05,5.73E+05,5.39E+05,3.21E-01,4.96E-01,SKM-VL,PROT,HUMAN
O94760,DDAH1_HUMAN,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",1.74E+05,2.21E+05,2.24E+05,2.13E+05,2.53E-01,4.26E-01,SKM-VL,PROT,HUMAN
Q16531,DDB1_HUMAN,DDB1,DNA damage-binding protein 1,4.82E+05,5.41E+05,5.25E+05,5.76E+05,2.36E-02,8.30E-02,SKM-VL,PROT,HUMAN
Q96HY6,DDRGK_HUMAN,DDRGK1,DDRGK domain-containing protein 1,1.24E+04,1.55E+04,1.66E+04,1.56E+04,5.88E-01,7.16E-01,SKM-VL,PROT,HUMAN
Q92499,DDX1_HUMAN,DDX1,ATP-dependent RNA helicase DDX1,4.86E+05,5.73E+05,5.74E+05,6.30E+05,3.13E-03,2.05E-02,SKM-VL,PROT,HUMAN
Q92841,DDX17_HUMAN,DDX17,Probable ATP-dependent RNA helicase DDX17,1.24E+05,1.64E+05,1.33E+05,1.52E+05,7.31E-02,1.80E-01,SKM-VL,PROT,HUMAN
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,3.74E+05,4.10E+05,4.45E+05,5.29E+05,5.62E-03,3.17E-02,SKM-VL,PROT,HUMAN
P26196,DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6,1.22E+05,2.63E+05,1.45E+05,1.61E+05,5.64E-03,3.17E-02,SKM-VL,PROT,HUMAN
Q16698,DECR_HUMAN,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial",1.77E+06,1.79E+06,1.87E+06,2.26E+06,1.85E-05,4.09E-04,SKM-VL,PROT,HUMAN
P59666,DEF3_HUMAN,DEFA3,Neutrophil defensin 3,1.64E+05,2.28E+05,1.61E+05,1.67E+05,6.19E-01,7.42E-01,SKM-VL,PROT,HUMAN
Q9HBH1,DEFM_HUMAN,PDF,"Peptide deformylase, mitochondrial",3.32E+04,5.24E+04,5.28E+04,4.85E+04,1.04E-01,2.28E-01,SKM-VL,PROT,HUMAN
Q08495,DEMA_HUMAN,DMTN,Dematin,1.65E+05,2.37E+05,1.75E+05,1.95E+05,1.78E-01,3.28E-01,SKM-VL,PROT,HUMAN
O43583,DENR_HUMAN,DENR,Density-regulated protein,4.33E+04,5.42E+04,4.42E+04,4.52E+04,6.53E-01,7.62E-01,SKM-VL,PROT,HUMAN
Q9BUN8,DERL1_HUMAN,DERL1,Derlin-1,3.11E+04,4.21E+04,3.79E+04,4.42E+04,1.34E-01,2.74E-01,SKM-VL,PROT,HUMAN
Q07507,DERM_HUMAN,DPT,Dermatopontin,4.00E+05,5.14E+05,4.04E+05,4.66E+05,1.64E-01,3.11E-01,SKM-VL,PROT,HUMAN
P17661,DESM_HUMAN,DES,Desmin,1.80E+07,1.90E+07,1.78E+07,1.76E+07,4.61E-01,6.12E-01,SKM-VL,PROT,HUMAN
P60981,DEST_HUMAN,DSTN,Destrin,3.89E+04,5.71E+04,3.90E+04,6.40E+04,1.84E-02,7.10E-02,SKM-VL,PROT,HUMAN
Q05D60,DEUP1_HUMAN,DEUP1,Deuterosome assembly protein 1,8.38E+04,9.80E+04,8.08E+04,8.94E+04,7.91E-01,8.66E-01,SKM-VL,PROT,HUMAN
Q53GQ0,DHB12_HUMAN,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,1.75E+05,1.73E+05,2.06E+05,1.79E+05,6.24E-01,7.45E-01,SKM-VL,PROT,HUMAN
P51659,DHB4_HUMAN,HSD17B4,Peroxisomal multifunctional enzyme type 2,3.82E+05,4.02E+05,3.19E+05,4.24E+05,6.80E-01,7.84E-01,SKM-VL,PROT,HUMAN
Q92506,DHB8_HUMAN,HSD17B8,Estradiol 17-beta-dehydrogenase 8,1.79E+05,1.83E+05,1.99E+05,2.55E+05,6.07E-03,3.35E-02,SKM-VL,PROT,HUMAN
Q15392,DHC24_HUMAN,DHCR24,Delta(24)-sterol reductase,5.25E+04,3.65E+04,5.12E+04,4.92E+04,6.59E-01,7.66E-01,SKM-VL,PROT,HUMAN
Q9UBM7,DHCR7_HUMAN,DHCR7,7-dehydrocholesterol reductase,1.44E+05,1.40E+05,1.68E+05,1.50E+05,8.60E-01,9.09E-01,SKM-VL,PROT,HUMAN
P00367,DHE3_HUMAN,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",3.73E+05,4.86E+05,4.17E+05,5.08E+05,6.15E-04,6.14E-03,SKM-VL,PROT,HUMAN
P09417,DHPR_HUMAN,QDPR,Dihydropteridine reductase,6.25E+05,7.65E+05,6.74E+05,7.41E+05,1.53E-03,1.16E-02,SKM-VL,PROT,HUMAN
Q9BTZ2,DHRS4_HUMAN,DHRS4,Dehydrogenase/reductase SDR family member 4,8.15E+04,1.05E+05,9.79E+04,1.10E+05,2.98E-02,9.69E-02,SKM-VL,PROT,HUMAN
Q9Y394,DHRS7_HUMAN,DHRS7,Dehydrogenase/reductase SDR family member 7,4.98E+05,5.46E+05,5.04E+05,4.98E+05,6.91E-01,7.92E-01,SKM-VL,PROT,HUMAN
O14521,DHSD_HUMAN,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",3.93E+05,4.05E+05,3.57E+05,4.42E+05,1.38E-01,2.79E-01,SKM-VL,PROT,HUMAN
Q96HY7,DHTK1_HUMAN,DHTKD1,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",1.35E+05,1.45E+05,1.36E+05,1.49E+05,8.02E-01,8.72E-01,SKM-VL,PROT,HUMAN
O43143,DHX15_HUMAN,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,1.97E+04,1.99E+04,1.82E+04,1.95E+04,9.68E-01,9.79E-01,SKM-VL,PROT,HUMAN
Q08211,DHX9_HUMAN,DHX9,ATP-dependent RNA helicase A,4.94E+04,5.14E+04,4.87E+04,4.94E+04,9.95E-01,9.98E-01,SKM-VL,PROT,HUMAN
O60610,DIAP1_HUMAN,DIAPH1,Protein diaphanous homolog 1,1.69E+03,1.29E+03,1.59E+03,1.78E+03,4.97E-01,6.42E-01,SKM-VL,PROT,HUMAN
Q9Y2E4,DIP2C_HUMAN,DIP2C,Disco-interacting protein 2 homolog C,5.65E+04,6.18E+04,6.60E+04,6.85E+04,8.10E-01,8.78E-01,SKM-VL,PROT,HUMAN
Q9NVH1,DJC11_HUMAN,DNAJC11,DnaJ homolog subfamily C member 11,9.94E+04,1.35E+05,8.58E+04,1.19E+05,1.04E-01,2.28E-01,SKM-VL,PROT,HUMAN
P09622,DLDH_HUMAN,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",2.68E+06,2.69E+06,2.85E+06,3.15E+06,1.02E-04,1.59E-03,SKM-VL,PROT,HUMAN
Q9NP97,DLRB1_HUMAN,DYNLRB1,Dynein light chain roadblock-type 1,3.90E+04,3.59E+04,3.24E+04,4.02E+04,5.27E-01,6.66E-01,SKM-VL,PROT,HUMAN
P11532,DMD_HUMAN,DMD,Dystrophin,2.03E+06,2.14E+06,2.17E+06,2.34E+06,3.76E-03,2.37E-02,SKM-VL,PROT,HUMAN
O60884,DNJA2_HUMAN,DNAJA2,DnaJ homolog subfamily A member 2,3.50E+05,4.16E+05,3.85E+05,3.99E+05,2.75E-01,4.49E-01,SKM-VL,PROT,HUMAN
Q96EY1,DNJA3_HUMAN,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial",6.19E+04,5.69E+04,6.82E+04,6.60E+04,8.00E-01,8.71E-01,SKM-VL,PROT,HUMAN
Q9UDY4,DNJB4_HUMAN,DNAJB4,DnaJ homolog subfamily B member 4,3.37E+05,3.74E+05,3.22E+05,3.79E+05,1.48E-01,2.92E-01,SKM-VL,PROT,HUMAN
O75190,DNJB6_HUMAN,DNAJB6,DnaJ homolog subfamily B member 6,7.18E+04,5.73E+04,1.14E+05,5.99E+04,2.86E-01,4.59E-01,SKM-VL,PROT,HUMAN
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,5.10E+05,5.74E+05,4.80E+05,5.92E+05,2.45E-03,1.68E-02,SKM-VL,PROT,HUMAN
O43598,DNPH1_HUMAN,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,9.61E+04,1.17E+05,9.79E+04,1.39E+05,5.10E-03,2.96E-02,SKM-VL,PROT,HUMAN
P30046,DOPD_HUMAN,DDT,D-dopachrome decarboxylase,3.88E+05,5.34E+05,4.64E+05,5.13E+05,1.29E-01,2.67E-01,SKM-VL,PROT,HUMAN
Q9UKG1,DP13A_HUMAN,APPL1,DCC-interacting protein 13-alpha,7.15E+03,8.30E+03,5.89E+03,7.72E+03,5.16E-01,6.58E-01,SKM-VL,PROT,HUMAN
Q9NY33,DPP3_HUMAN,DPP3,Dipeptidyl peptidase 3,5.33E+04,5.41E+04,6.00E+04,6.85E+04,1.18E-01,2.50E-01,SKM-VL,PROT,HUMAN
Q8TB45,DPTOR_HUMAN,DEPTOR,DEP domain-containing mTOR-interacting protein,2.37E+04,2.29E+04,2.87E+04,2.45E+04,9.24E-01,9.52E-01,SKM-VL,PROT,HUMAN
Q16555,DPYL2_HUMAN,DPYSL2,Dihydropyrimidinase-related protein 2,1.09E+05,2.33E+05,1.58E+05,1.95E+05,5.19E-04,5.42E-03,SKM-VL,PROT,HUMAN
Q14195,DPYL3_HUMAN,DPYSL3,Dihydropyrimidinase-related protein 3,3.79E+05,4.70E+05,4.70E+05,6.40E+05,3.28E-04,3.82E-03,SKM-VL,PROT,HUMAN
Q9Y295,DRG1_HUMAN,DRG1,Developmentally-regulated GTP-binding protein 1,3.91E+04,3.94E+04,3.96E+04,4.27E+04,8.31E-01,8.90E-01,SKM-VL,PROT,HUMAN
P55039,DRG2_HUMAN,DRG2,Developmentally-regulated GTP-binding protein 2,4.49E+04,4.92E+04,4.65E+04,4.65E+04,9.78E-01,9.86E-01,SKM-VL,PROT,HUMAN
Q6IAN0,DRS7B_HUMAN,DHRS7B,Dehydrogenase/reductase SDR family member 7B,2.38E+05,2.87E+05,2.63E+05,2.76E+05,2.29E-01,3.98E-01,SKM-VL,PROT,HUMAN
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,4.35E+05,5.15E+05,5.08E+05,5.29E+05,1.70E-01,3.18E-01,SKM-VL,PROT,HUMAN
O14972,DSCR3_HUMAN,VPS26C,Vacuolar protein sorting-associated protein 26C,6.43E+03,6.81E+03,5.26E+03,5.91E+03,7.86E-01,8.63E-01,SKM-VL,PROT,HUMAN
Q8TEA8,DTD1_HUMAN,DTD1,D-aminoacyl-tRNA deacylase 1,7.81E+03,2.27E+04,1.15E+04,1.28E+04,3.04E-02,9.75E-02,SKM-VL,PROT,HUMAN
Q9Y4J8,DTNA_HUMAN,DTNA,Dystrobrevin alpha,5.76E+05,7.87E+05,7.69E+05,7.39E+05,3.59E-01,5.29E-01,SKM-VL,PROT,HUMAN
Q4G0W2,DUS28_HUMAN,DUSP28,Dual specificity phosphatase 28,5.60E+04,5.06E+04,4.09E+04,6.95E+04,1.50E-01,2.93E-01,SKM-VL,PROT,HUMAN
P51452,DUS3_HUMAN,DUSP3,Dual specificity protein phosphatase 3,4.32E+05,5.74E+05,5.29E+05,5.67E+05,6.45E-05,1.14E-03,SKM-VL,PROT,HUMAN
Q13838,DX39B_HUMAN,DDX39B,Spliceosome RNA helicase DDX39B,1.76E+05,2.06E+05,1.84E+05,2.13E+05,1.02E-02,4.71E-02,SKM-VL,PROT,HUMAN
Q14204,DYHC1_HUMAN,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,7.14E+05,8.22E+05,8.17E+05,8.25E+05,1.01E-01,2.25E-01,SKM-VL,PROT,HUMAN
P50570,DYN2_HUMAN,DNM2,Dynamin-2,2.23E+05,3.83E+05,3.70E+05,3.34E+05,3.28E-01,5.03E-01,SKM-VL,PROT,HUMAN
O75923,DYSF_HUMAN,DYSF,Dysferlin,2.19E+06,2.59E+06,2.38E+06,2.43E+06,1.73E-01,3.22E-01,SKM-VL,PROT,HUMAN
Q03001,DYST_HUMAN,DST,Dystonin,2.31E+04,3.20E+04,2.89E+04,3.00E+04,6.84E-01,7.86E-01,SKM-VL,PROT,HUMAN
Q13011,ECH1_HUMAN,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",2.39E+06,2.35E+06,2.21E+06,2.71E+06,1.52E-02,6.24E-02,SKM-VL,PROT,HUMAN
P40939,ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",1.01E+07,9.79E+06,9.33E+06,1.05E+07,7.54E-02,1.83E-01,SKM-VL,PROT,HUMAN
P55084,ECHB_HUMAN,HADHB,"Trifunctional enzyme subunit beta, mitochondrial",7.97E+06,7.18E+06,6.83E+06,7.56E+06,1.07E-01,2.34E-01,SKM-VL,PROT,HUMAN
Q9NTX5,ECHD1_HUMAN,ECHDC1,Ethylmalonyl-CoA decarboxylase,8.41E+04,5.94E+04,8.55E+04,9.71E+04,4.93E-01,6.39E-01,SKM-VL,PROT,HUMAN
Q86YB7,ECHD2_HUMAN,ECHDC2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",9.66E+03,1.89E+04,7.52E+03,1.99E+04,1.17E-05,2.97E-04,SKM-VL,PROT,HUMAN
Q96DC8,ECHD3_HUMAN,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",5.19E+03,7.59E+03,9.19E+03,6.86E+03,2.91E-01,4.64E-01,SKM-VL,PROT,HUMAN
P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",1.75E+06,1.93E+06,1.98E+06,2.19E+06,1.23E-02,5.34E-02,SKM-VL,PROT,HUMAN
P42126,ECI1_HUMAN,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",2.29E+06,2.48E+06,2.37E+06,2.61E+06,1.54E-02,6.26E-02,SKM-VL,PROT,HUMAN
O75521,ECI2_HUMAN,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial",2.16E+05,2.32E+05,2.62E+05,3.10E+05,1.30E-03,1.02E-02,SKM-VL,PROT,HUMAN
Q16610,ECM1_HUMAN,ECM1,Extracellular matrix protein 1,1.22E+04,1.95E+04,1.80E+04,1.45E+04,4.24E-01,5.83E-01,SKM-VL,PROT,HUMAN
Q5VYK3,ECM29_HUMAN,ECPAS,Proteasome adapter and scaffold protein ECM29,2.57E+05,3.25E+05,2.94E+05,2.96E+05,2.19E-02,8.01E-02,SKM-VL,PROT,HUMAN
Q9BQ95,ECSIT_HUMAN,ECSIT,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",1.96E+03,1.54E+03,1.83E+03,2.31E+03,1.20E-01,2.53E-01,SKM-VL,PROT,HUMAN
O60869,EDF1_HUMAN,EDF1,Endothelial differentiation-related factor 1,4.92E+04,5.31E+04,5.69E+04,6.13E+04,3.10E-01,4.83E-01,SKM-VL,PROT,HUMAN
Q15075,EEA1_HUMAN,EEA1,Early endosome antigen 1,2.66E+04,5.93E+04,3.91E+04,5.52E+04,1.43E-02,6.00E-02,SKM-VL,PROT,HUMAN
Q05639,EF1A2_HUMAN,EEF1A2,Elongation factor 1-alpha 2,3.99E+06,4.17E+06,3.98E+06,4.08E+06,6.62E-01,7.68E-01,SKM-VL,PROT,HUMAN
Q5VTE0,EF1A3_HUMAN,EEF1A1P5,Putative elongation factor 1-alpha-like 3,7.69E+04,6.58E+04,7.03E+04,8.05E+04,7.28E-01,8.19E-01,SKM-VL,PROT,HUMAN
P24534,EF1B_HUMAN,EEF1B2,Elongation factor 1-beta,4.94E+05,5.62E+05,5.14E+05,5.70E+05,2.53E-02,8.61E-02,SKM-VL,PROT,HUMAN
P29692,EF1D_HUMAN,EEF1D,Elongation factor 1-delta,7.62E+05,8.71E+05,7.65E+05,8.93E+05,7.48E-02,1.83E-01,SKM-VL,PROT,HUMAN
P26641,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,1.65E+06,1.94E+06,1.83E+06,1.97E+06,8.99E-03,4.36E-02,SKM-VL,PROT,HUMAN
P13639,EF2_HUMAN,EEF2,Elongation factor 2,3.24E+06,3.67E+06,3.49E+06,3.72E+06,1.96E-04,2.64E-03,SKM-VL,PROT,HUMAN
Q96RP9,EFGM_HUMAN,GFM1,"Elongation factor G, mitochondrial",3.71E+04,5.05E+04,3.68E+04,4.63E+04,1.24E-01,2.59E-01,SKM-VL,PROT,HUMAN
Q9BUP0,EFHD1_HUMAN,EFHD1,EF-hand domain-containing protein D1,2.29E+04,3.70E+04,2.75E+04,3.07E+04,3.80E-01,5.46E-01,SKM-VL,PROT,HUMAN
P43897,EFTS_HUMAN,TSFM,"Elongation factor Ts, mitochondrial",1.60E+05,1.43E+05,1.44E+05,1.59E+05,9.46E-01,9.64E-01,SKM-VL,PROT,HUMAN
P49411,EFTU_HUMAN,TUFM,"Elongation factor Tu, mitochondrial",2.05E+06,2.22E+06,2.22E+06,2.66E+06,9.21E-08,8.88E-06,SKM-VL,PROT,HUMAN
Q63HQ2,EGFLA_HUMAN,EGFLAM,Pikachurin,2.96E+04,3.69E+04,3.02E+04,3.83E+04,6.98E-01,7.98E-01,SKM-VL,PROT,HUMAN
Q8N3D4,EH1L1_HUMAN,EHBP1L1,EH domain-binding protein 1-like protein 1,7.83E+03,8.96E+03,9.54E+03,1.11E+04,3.75E-01,5.42E-01,SKM-VL,PROT,HUMAN
Q9H4M9,EHD1_HUMAN,EHD1,EH domain-containing protein 1,1.34E+04,2.00E+04,1.96E+04,2.24E+04,2.71E-01,4.46E-01,SKM-VL,PROT,HUMAN
Q9NZN4,EHD2_HUMAN,EHD2,EH domain-containing protein 2,7.22E+05,7.56E+05,7.78E+05,9.45E+05,5.42E-05,1.01E-03,SKM-VL,PROT,HUMAN
O14681,EI24_HUMAN,EI24,Etoposide-induced protein 2.4 homolog,2.54E+04,4.20E+04,2.49E+04,2.96E+04,2.42E-01,4.14E-01,SKM-VL,PROT,HUMAN
Q9NR50,EI2BG_HUMAN,EIF2B3,Translation initiation factor eIF-2B subunit gamma,2.85E+04,3.89E+04,4.15E+04,4.21E+04,6.26E-01,7.46E-01,SKM-VL,PROT,HUMAN
P41567,EIF1_HUMAN,EIF1,Eukaryotic translation initiation factor 1,1.55E+05,1.30E+05,1.26E+05,2.00E+05,1.61E-01,3.07E-01,SKM-VL,PROT,HUMAN
Q9BY44,EIF2A_HUMAN,EIF2A,Eukaryotic translation initiation factor 2A,1.68E+04,2.49E+04,2.14E+04,2.76E+04,2.84E-01,4.58E-01,SKM-VL,PROT,HUMAN
