Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
G3V7Y3,"ATP synthase subunit delta, mitochondrial ",38,3,39,3,Atp5d,0.83,<0.01,0.83,0.01,HEART,PROT,RAT
P29419,"ATP synthase subunit e, mitochondrial ",75,6,100,6,Atp5i,0.81,0.01,0.79,0.01,HEART,PROT,RAT
D3ZAF6,"ATP synthase subunit f, mitochondrial ",24,2,28,2,Atp5j2,0.87,0.72,0.99,1.00,HEART,PROT,RAT
Q6PDU7,"ATP synthase subunit g, mitochondrial ",47,4,66,4,Atp5l,0.81,0.01,0.88,0.05,HEART,PROT,RAT
P35435,"ATP synthase subunit gamma, mitochondrial ",45,11,185,11,Atp5c1,0.88,0.85,0.84,0.37,HEART,PROT,RAT
Q06647,"ATP synthase subunit O, mitochondrial ",54,10,149,10,Atp5o,0.76,<0.01,0.81,<0.01,HEART,PROT,RAT
Q5XIM4,"ATP synthase subunit s, mitochondrial ",19,4,11,4,Atp5s,0.97,1.00,1.08,1.00,HEART,PROT,RAT
P21571,"ATP synthase-coupling factor 6, mitochondrial ",50,6,50,6,Atp5j,0.84,1.00,0.97,1.00,HEART,PROT,RAT
Q505J9,ATPase family AAA domain-containing protein 1 ,23,5,26,5,Atad1,0.90,0.56,1.10,0.83,HEART,PROT,RAT
Q3KRE0,ATPase family AAA domain-containing protein 3 ,14,6,21,6,Atad3a,0.56,<0.01,0.86,0.57,HEART,PROT,RAT
D4A133,ATPase H+-transporting V1 subunit A ,31,14,30,14,Atp6v1a,1.49,0.40,1.06,1.00,HEART,PROT,RAT
Q03344,"ATPase inhibitor, mitochondrial ",14,2,6,2,Atpif1,0.74,0.70,1.08,1.00,HEART,PROT,RAT
G3V7L8,"ATPase, H+ transporting, V1 subunit E isoform 1, isoform CRA_a ",29,6,11,6,Atp6v1e1,1.40,0.01,1.21,0.16,HEART,PROT,RAT
A0A0G2K866,"ATP-binding cassette sub-family B member 7, mitochondrial ",12,5,12,5,Abcb7,0.97,1.00,1.28,0.77,HEART,PROT,RAT
Q6MG08,ATP-binding cassette sub-family F member 1 ,8,5,9,5,Abcf1,1.28,0.38,0.97,1.00,HEART,PROT,RAT
D3ZLK9,ATP-dependent (S)-NAD(P)H-hydrate dehydratase ,13,3,8,3,Carkd; Naxd,0.98,1.00,1.13,1.00,HEART,PROT,RAT
Q52KS1,ATP-dependent 6-phosphofructokinase ,39,26,116,23,Pfkm,0.70,<0.01,0.81,0.03,HEART,PROT,RAT
P30835,"ATP-dependent 6-phosphofructokinase, liver type ",16,10,24,7,Pfkl,1.61,0.06,1.73,0.05,HEART,PROT,RAT
P47860,"ATP-dependent 6-phosphofructokinase, platelet type ",18,11,16,9,Pfkp,1.83,0.31,2.12,0.21,HEART,PROT,RAT
Q5U2U0,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial ",7,4,5,4,Clpx,0.65,0.09,0.91,1.00,HEART,PROT,RAT
M0RAD5,ATP-dependent Clp protease proteolytic subunit ,24,5,12,5,Clpp,0.82,0.03,0.96,0.80,HEART,PROT,RAT
Q641Y8,ATP-dependent RNA helicase DDX1 ,24,12,36,12,Ddx1,1.30,0.07,1.18,0.18,HEART,PROT,RAT
Q5BJQ0,"Atypical kinase COQ8A, mitochondrial ",39,16,103,16,Adck3; Coq8a,0.46,<0.01,0.53,0.01,HEART,PROT,RAT
F1LQH9,BAG cochaperone 2 ,17,3,7,3,Bag2,1.49,0.60,1.09,1.00,HEART,PROT,RAT
Q9R1T1,Barrier-to-autointegration factor ,40,2,15,2,Banf1,0.70,1.00,1.05,1.00,HEART,PROT,RAT
Q9ESS6,Basal cell adhesion molecule ,31,11,34,11,Bcam,1.06,0.72,1.06,0.56,HEART,PROT,RAT
Q9WTT7,Basic leucine zipper and W2 domain-containing protein 2 ,29,13,24,13,Bzw2,0.75,0.32,1.01,1.00,HEART,PROT,RAT
Q6GT74,Basigin ,28,7,29,7,Bsg,1.33,<0.01,1.35,<0.01,HEART,PROT,RAT
Q6AY58,B-cell receptor-associated protein 31 ,29,6,14,6,Bcap31,1.22,1.00,1.46,0.18,HEART,PROT,RAT
D3ZT71,BCL2-like 13 ,21,6,26,6,Bcl2l13,1.29,0.51,1.22,0.57,HEART,PROT,RAT
Q5XIM0,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone ",30,8,30,8,Bcs1l,0.97,0.48,1.17,0.27,HEART,PROT,RAT
P26644,Beta-2-glycoprotein 1 ,6,2,5,2,Apoh,0.97,1.00,1.15,1.00,HEART,PROT,RAT
P15429,Beta-enolase ,50,18,218,14,Eno3,0.60,<0.01,0.64,<0.01,HEART,PROT,RAT
Q63067,Beta-globin chain ,12,2,5,2,Hbe2,1.00,1.00,0.88,1.00,HEART,PROT,RAT
Q5RKK3,Bifunctional epoxide hydrolase 2 ,18,6,24,6,Ephx2,0.57,0.10,0.59,0.14,HEART,PROT,RAT
O35567,Bifunctional purine biosynthesis protein PURH ,43,18,83,18,Atic,1.43,<0.01,1.25,0.01,HEART,PROT,RAT
P47853,Biglycan ,27,9,23,8,Bgn,1.96,<0.01,1.82,<0.01,HEART,PROT,RAT
B5DF65,Biliverdin reductase B ,65,8,48,8,Blvrb,0.93,0.71,0.96,0.59,HEART,PROT,RAT
Q3B8N9,Biphenyl hydrolase-like ,25,5,22,5,Bphl,0.68,<0.01,0.80,0.02,HEART,PROT,RAT
Q9JIX3,Bis(5'-adenosyl)-triphosphatase ,28,3,4,3,Fhit,0.95,1.00,0.86,1.00,HEART,PROT,RAT
Q6PEC0,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] ,47,4,14,4,Nudt2,0.74,0.59,0.90,0.60,HEART,PROT,RAT
A1A5L1,Bleomycin hydrolase ,15,4,11,4,Blmh,1.19,1.00,1.05,1.00,HEART,PROT,RAT
O35854,"Branched-chain-amino-acid aminotransferase, mitochondrial ",27,9,65,9,Bcat2,0.66,0.01,0.78,0.35,HEART,PROT,RAT
Q5VLR5,BWK4 ,13,4,7,3,Erp44,1.16,0.18,1.56,0.01,HEART,PROT,RAT
P27653,"C-1-tetrahydrofolate synthase, cytoplasmic ",11,9,16,4,Mthfd1,0.75,0.19,0.89,0.80,HEART,PROT,RAT
Q8R490,Cadherin 13 ,19,10,46,10,Cdh13,1.41,<0.01,1.34,<0.01,HEART,PROT,RAT
G3V803,Cadherin-2 ,27,13,52,13,LOC497718; Cdh2,1.52,<0.01,1.41,<0.01,HEART,PROT,RAT
P15791,Calcium/calmodulin-dependent protein kinase type II subunit delta ,17,8,23,4,Camk2d,0.94,1.00,1.06,0.92,HEART,PROT,RAT
Q9WU49,Calcium-regulated heat stable protein 1 ,41,3,9,3,Carhsp1,1.42,<0.01,1.20,0.08,HEART,PROT,RAT
Q6AYK6,Calcyclin-binding protein ,28,5,10,4,Cacybp,1.27,0.59,1.21,0.77,HEART,PROT,RAT
P0DP31,Calmodulin-3 ,56,9,39,9,Calm2; Calm3; Calm1,1.04,1.00,1.01,1.00,HEART,PROT,RAT
P35565,Calnexin ,45,20,54,20,Canx,1.51,<0.01,1.54,<0.01,HEART,PROT,RAT
Q07009,Calpain-2 catalytic subunit ,32,16,46,16,Capn2,1.33,0.52,1.44,0.58,HEART,PROT,RAT
P18418,Calreticulin ,53,17,71,17,Calr,1.37,<0.01,1.38,<0.01,HEART,PROT,RAT
F1M944,Calsequestrin ,40,12,199,12,Casq2,0.86,0.06,0.94,0.83,HEART,PROT,RAT
G3V6S3,Calumenin ,57,12,47,12,Calu,2.07,<0.01,1.68,<0.01,HEART,PROT,RAT
P09456,cAMP-dependent protein kinase type I-alpha regulatory subunit ,41,15,58,15,Prkar1a,0.88,0.02,0.94,0.16,HEART,PROT,RAT
P12368,cAMP-dependent protein kinase type II-alpha regulatory subunit ,33,10,40,10,Prkar2a,1.03,1.00,1.03,1.00,HEART,PROT,RAT
B0BNN3,Carbonic anhydrase 1 ,55,10,52,10,Ca1; Car1,1.58,<0.01,1.79,<0.01,HEART,PROT,RAT
P27139,Carbonic anhydrase 2 ,45,8,46,8,Ca2; Car2,1.29,<0.01,1.49,<0.01,HEART,PROT,RAT
P14141,Carbonic anhydrase 3 ,15,4,17,4,Car3,0.95,1.00,1.20,0.94,HEART,PROT,RAT
P47727,Carbonyl reductase [NADPH] 1 ,56,13,56,12,Cbr1,0.62,<0.01,0.71,<0.01,HEART,PROT,RAT
Q7TS56,Carbonyl reductase family member 4 ,33,5,8,5,Cbr4,0.50,0.01,0.77,0.78,HEART,PROT,RAT
P10959,Carboxylesterase 1C ,23,9,18,8,Ces1c,0.76,0.47,0.73,0.41,HEART,PROT,RAT
P16303,Carboxylesterase 1D ,31,13,50,13,Ces1d,0.89,0.27,1.00,1.00,HEART,PROT,RAT
Q7TP52,Carboxymethylenebutenolidase homolog ,42,8,30,8,Cmbl,0.65,<0.01,0.69,0.01,HEART,PROT,RAT
Q6AYS3,Carboxypeptidase ,4,2,6,2,Ctsa,1.24,0.39,1.50,0.10,HEART,PROT,RAT
Q6IRK9,Carboxypeptidase Q ,21,6,18,6,Cpq,1.11,1.00,1.29,0.87,HEART,PROT,RAT
Q7TMZ9,Cardiac titin N2B isoform (Fragment) ,49,49,380,41,Ttn,0.99,0.99,0.97,0.62,HEART,PROT,RAT
Q7TN00,Cardiac titin N2BA isoform (Fragment) ,22,59,214,38,Ttn,1.16,0.01,1.04,0.55,HEART,PROT,RAT
Q4PP99,Cardiac troponin C ,46,8,92,8,Tnnc1,0.87,0.67,0.92,1.00,HEART,PROT,RAT
M0R557,Cardiomyopathy-associated 5 ,17,33,58,33,Cmya5,0.89,1.00,0.94,1.00,HEART,PROT,RAT
Q704S8,Carnitine O-acetyltransferase ,37,23,97,23,Crat,0.52,<0.01,0.60,<0.01,HEART,PROT,RAT
Q63704,"Carnitine O-palmitoyltransferase 1, muscle isoform ",20,14,59,14,Cpt1b,0.91,0.18,1.27,<0.01,HEART,PROT,RAT
P18886,"Carnitine O-palmitoyltransferase 2, mitochondrial ",51,27,163,3,Cpt2,0.74,<0.01,0.85,0.01,HEART,PROT,RAT
P19139,Casein kinase II subunit alpha ,24,6,16,6,Csnk2a1,0.97,1.00,1.11,0.60,HEART,PROT,RAT
Q9WTT2,Caseinolytic peptidase B protein homolog ,8,4,9,4,Clpb,0.72,0.03,0.92,0.72,HEART,PROT,RAT
P04762,Catalase ,49,19,82,19,Cat,1.34,<0.01,1.43,<0.01,HEART,PROT,RAT
P22734,Catechol O-methyltransferase ,13,3,10,3,Comt,1.13,0.63,1.59,0.03,HEART,PROT,RAT
Q5U302,"Catenin (Cadherin associated protein), alpha 1 ",44,32,138,31,Ctnna1,1.38,<0.01,1.24,<0.01,HEART,PROT,RAT
D3ZZZ9,"Catenin (Cadherin associated protein), delta 1 (Predicted), isoform CRA_a ",9,7,13,7,Ctnnd1,0.88,1.00,1.43,0.54,HEART,PROT,RAT
Q9WU82,Catenin beta-1 ,35,20,72,18,Ctnnb1,1.47,0.06,1.25,0.23,HEART,PROT,RAT
Q6IN22,Cathepsin B ,8,2,9,2,Ctsb,1.26,0.14,1.59,0.03,HEART,PROT,RAT
Q6P6T6,Cathepsin D ,18,6,32,6,Ctsd,0.80,0.03,0.80,0.02,HEART,PROT,RAT
G3V8L9,Caveolae-associated protein 1 ,42,15,102,15,Ptrf; Cavin1,0.85,0.16,0.94,0.55,HEART,PROT,RAT
Q66H98,Caveolae-associated protein 2 ,51,15,61,15,Sdpr; Cavin2,1.00,1.00,0.97,0.72,HEART,PROT,RAT
Q9Z1H9,Caveolae-associated protein 3 ,45,10,25,10,Prkcdbp; Cavin3,0.90,0.08,1.05,1.00,HEART,PROT,RAT
B1PRL5,Caveolae-associated protein 4 ,31,8,26,8,Murc; Cavin4,0.84,0.09,0.99,1.00,HEART,PROT,RAT
P41350,Caveolin-1 ,46,7,62,6,Cav1,0.87,0.14,0.88,1.00,HEART,PROT,RAT
Q9QZA6,CD151 antigen ,10,2,5,2,Cd151; LOC100911730,1.10,1.00,1.40,0.43,HEART,PROT,RAT
P40241,CD9 antigen ,7,2,8,2,Cd9,0.82,0.50,1.02,1.00,HEART,PROT,RAT
B0K020,CDGSH iron-sulfur domain-containing protein 1 ,44,4,61,4,Cisd1,0.99,1.00,0.97,1.00,HEART,PROT,RAT
P70500,CDP-diacylglycerol--inositol 3-phosphatidyltransferase ,12,2,4,2,Cdipt,1.26,0.05,1.58,0.01,HEART,PROT,RAT
P0C5I0,Cerebral dopamine neurotrophic factor ,10,2,4,2,Cdnf,0.73,0.07,0.84,0.33,HEART,PROT,RAT
A0A0G2K9I6,Ceruloplasmin ,24,18,62,18,Cp,1.77,<0.01,1.72,<0.01,HEART,PROT,RAT
Q5I0K3,"Citramalyl-CoA lyase, mitochondrial ",48,12,66,12,Clybl,0.81,0.01,0.86,0.07,HEART,PROT,RAT
G3V936,Citrate synthase ,44,17,428,17,Cs rCG_42519,0.80,<0.01,0.84,0.01,HEART,PROT,RAT
B0BNC0,Ckmt2 protein ,41,16,609,14,Ckmt2,0.49,<0.01,0.51,<0.01,HEART,PROT,RAT
P11442,Clathrin heavy chain 1 ,39,49,222,49,Cltc,1.36,<0.01,1.45,<0.01,HEART,PROT,RAT
P08082,Clathrin light chain B ,20,6,18,6,Cltb,1.44,0.08,1.20,0.15,HEART,PROT,RAT
Q66WT9,Clathrin-assembly lymphoid myeloid leukemia protein ,14,5,18,4,Picalm,1.52,0.13,1.54,0.14,HEART,PROT,RAT
A0A0U1RRV5,Clustered mitochondria protein homolog ,8,8,17,8,Cluh; RGD1307222,0.71,0.75,0.73,0.97,HEART,PROT,RAT
G3V836,Clusterin ,23,9,26,9,Clu,1.80,<0.01,1.51,<0.01,HEART,PROT,RAT
P16296,Coagulation factor IX ,4,2,5,2,F9,0.74,0.39,0.98,1.00,HEART,PROT,RAT
D3ZTE0,Coagulation factor XII ,4,2,4,2,F12,1.15,1.00,1.06,1.00,HEART,PROT,RAT
G3V811,Coagulation factor XIII A chain ,13,7,11,2,F13a1,1.25,0.63,1.90,0.09,HEART,PROT,RAT
G3V6T1,Coatomer subunit alpha ,6,6,16,6,Copa,1.17,0.35,1.27,0.68,HEART,PROT,RAT
P23514,Coatomer subunit beta ,12,8,12,8,Copb1,1.10,1.00,1.29,0.74,HEART,PROT,RAT
Q66H80,Coatomer subunit delta ,15,7,13,7,Arcn1,1.17,0.22,1.18,0.46,HEART,PROT,RAT
G3V8Q1,Coatomer subunit epsilon ,33,5,9,5,Cope,1.11,1.00,0.95,1.00,HEART,PROT,RAT
Q4AEF8,Coatomer subunit gamma-1 ,11,6,10,5,Copg1,1.11,1.00,1.34,0.55,HEART,PROT,RAT
A0A0G2JYY6,Coenzyme Q10A ,19,4,14,4,Coq10a,0.47,<0.01,0.50,<0.01,HEART,PROT,RAT
M0RC65,Cofilin 2 ,59,10,76,6,Cfl2,1.27,<0.01,1.19,<0.01,HEART,PROT,RAT
P45592,Cofilin-1 ,51,8,67,4,Cfl1,1.32,<0.01,1.18,0.02,HEART,PROT,RAT
D3ZEY0,Coiled-coil domain-containing 141 ,24,28,67,28,Ccdc141; LOC311134,0.95,0.41,1.20,0.01,HEART,PROT,RAT
F1LPD0,Collagen alpha-1(XV) chain-like ,12,12,33,12,LOC108348074,0.94,0.48,1.04,0.66,HEART,PROT,RAT
A0A0G2KAN1,Collagen alpha-2(I) chain ,2,3,5,3,Col1a2,0.47,0.03,0.65,0.15,HEART,PROT,RAT
F1M6Q3,Collagen type IV alpha 2 chain ,1,2,5,2,Col4a2,1.07,1.00,0.86,1.00,HEART,PROT,RAT
D3ZUL3,Collagen type VI alpha 1 chain ,29,24,296,24,Col6a1,1.05,0.05,1.15,<0.01,HEART,PROT,RAT
F1LNH3,Collagen type VI alpha 2 chain ,23,20,140,20,Col6a2,1.09,0.02,1.12,0.01,HEART,PROT,RAT
M0RBF1,Complement C3 ,44,59,219,59,C3,1.17,<0.01,1.26,<0.01,HEART,PROT,RAT
O35796,"Complement component 1 Q subcomponent-binding protein, mitochondrial ",37,6,63,6,C1qbp,1.16,0.30,1.03,0.70,HEART,PROT,RAT
Q6MG79,"Complement component 4, gene 1 ",15,19,41,19,C4a,1.45,0.29,1.48,0.06,HEART,PROT,RAT
Q62930,Complement component C9 ,26,13,29,13,C9,1.82,<0.01,2.11,<0.01,HEART,PROT,RAT
G3V615,Complement factor B ,12,8,24,8,Cfb,1.26,0.59,1.42,0.15,HEART,PROT,RAT
F1M983,Complement factor H ,6,6,13,6,Cfh,1.50,0.06,1.20,0.42,HEART,PROT,RAT
B1WC61,"Complex I assembly factor ACAD9, mitochondrial ",48,24,99,24,Acad9,1.11,0.02,1.12,0.02,HEART,PROT,RAT
B4F7A1,Complex III assembly factor LYRM7 ,28,2,4,2,Lyrm7,0.89,1.00,1.35,0.74,HEART,PROT,RAT
Q4KM69,"COP9 (Constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana) ",18,5,11,5,Cops5,1.17,0.15,1.10,0.44,HEART,PROT,RAT
G3V8Z9,"COP9 (Constitutive photomorphogenic) homolog, subunit 7a (Arabidopsis thaliana) (Predicted) ",33,7,16,7,Cops7a,0.91,0.53,1.20,0.14,HEART,PROT,RAT
P61203,COP9 signalosome complex subunit 2 ,22,8,22,8,Cops2,1.07,0.62,1.19,0.10,HEART,PROT,RAT
Q68FW9,COP9 signalosome complex subunit 3 ,12,3,6,3,Cops3,0.91,0.79,1.32,0.13,HEART,PROT,RAT
Q68FS2,COP9 signalosome complex subunit 4 ,21,6,18,6,Cops4,1.06,1.00,1.34,0.78,HEART,PROT,RAT
D3ZLA3,Copine 3 ,11,6,12,6,Cpne3,0.92,0.91,1.14,0.79,HEART,PROT,RAT
Q4G082,Coq3 protein (Fragment) ,20,6,15,6,Coq3,0.73,0.01,0.86,0.07,HEART,PROT,RAT
G3V624,Coronin ,10,3,9,3,Coro1c,1.44,0.46,1.44,0.49,HEART,PROT,RAT
Q920J3,Coronin-6 ,24,7,13,7,Coro6,0.90,0.87,1.10,0.68,HEART,PROT,RAT
M0R959,Corrinoid adenosyltransferase ,16,3,11,3,LOC687861; Mmab,0.92,1.00,0.68,0.61,HEART,PROT,RAT
B2RYT5,Cox7a2l protein ,54,5,35,5,Cox7a2l,1.07,0.05,1.15,<0.01,HEART,PROT,RAT
P07335,Creatine kinase B-type ,57,15,209,14,Ckb,2.01,<0.01,1.52,<0.01,HEART,PROT,RAT
A0A0G2JSP8,Creatine kinase M-type ,57,20,689,19,Ckm,0.78,0.01,0.75,<0.01,HEART,PROT,RAT
Q5U2U2,Crk-like protein ,24,6,11,6,Crkl; LOC100911248,0.94,0.80,1.01,1.00,HEART,PROT,RAT
Q6AZ26,C-terminal binding protein 1 ,25,7,13,7,Ctbp1,0.78,1.00,1.06,1.00,HEART,PROT,RAT
B1WBY1,Cul1 protein ,3,2,3,2,Cul1,0.90,0.89,0.91,0.98,HEART,PROT,RAT
Q9JJ31,Cullin-5 ,14,8,28,8,Cul5,0.90,0.66,1.12,0.71,HEART,PROT,RAT
P97536,Cullin-associated NEDD8-dissociated protein 1 ,16,15,57,14,Cand1,1.23,0.01,1.35,<0.01,HEART,PROT,RAT
D4AAI5,Cullin-associated NEDD8-dissociated protein 2 ,27,24,81,23,Cand2,1.14,0.15,1.13,0.10,HEART,PROT,RAT
Q498R7,CXXC motif containing zinc binding protein ,28,3,6,3,RGD1559786,0.75,0.70,1.00,1.00,HEART,PROT,RAT
P01041,Cystatin-B ,42,4,16,4,Cstb,1.58,0.05,1.45,0.10,HEART,PROT,RAT
A0A447DUT9,Cysteine and glycine rich protein 3 N-terminal nuclear localization sequence ,27,5,51,5,Csrp3,2.07,<0.01,1.62,0.03,HEART,PROT,RAT
P47875,Cysteine and glycine-rich protein 1 ,30,4,13,4,Csrp1,1.00,1.00,1.28,0.50,HEART,PROT,RAT
P36201,Cysteine-rich protein 2 ,32,5,66,5,Crip2,1.36,0.04,1.16,0.25,HEART,PROT,RAT
B2GV57,"Cysteinyl-tRNA synthetase 2, mitochondrial ",13,5,10,5,Cars2,0.80,0.21,1.02,1.00,HEART,PROT,RAT
Q921A4,Cytoglobin ,44,10,22,10,Cygb,1.18,1.00,1.63,0.35,HEART,PROT,RAT
P00173,Cytochrome b5 ,48,5,32,5,Cyb5a,1.00,1.00,0.99,0.91,HEART,PROT,RAT
P04166,Cytochrome b5 type B ,50,5,23,5,Cyb5b,0.78,0.11,0.75,0.13,HEART,PROT,RAT
Q68FY0,"Cytochrome b-c1 complex subunit 1, mitochondrial ",33,13,292,13,Uqcrc1,0.90,0.41,0.90,0.27,HEART,PROT,RAT
P32551,"Cytochrome b-c1 complex subunit 2, mitochondrial ",56,22,315,22,Uqcrc2,0.92,0.02,0.88,0.01,HEART,PROT,RAT
B2RYS2,Cytochrome b-c1 complex subunit 7 ,58,10,140,10,Uqcrb,0.90,0.29,0.85,0.23,HEART,PROT,RAT
Q7TQ16,Cytochrome b-c1 complex subunit 8 ,27,3,21,3,Uqcrq,1.12,1.00,0.99,1.00,HEART,PROT,RAT
P20788,"Cytochrome b-c1 complex subunit Rieske, mitochondrial ",55,13,115,13,Uqcrfs1,0.84,0.40,0.89,0.82,HEART,PROT,RAT
D3ZL85,Cytochrome c heme lyase ,24,6,14,6,Hccs,0.80,0.03,1.12,0.74,HEART,PROT,RAT
D3Z9I1,Cytochrome C oxidase assembly factor 3 ,18,2,3,2,Coa3,0.96,1.00,0.63,0.92,HEART,PROT,RAT
D3ZD09,Cytochrome c oxidase subunit ,20,2,24,2,LOC688869; Cox6b1,0.87,0.03,0.84,0.04,HEART,PROT,RAT
G3V8M4,Cytochrome c oxidase subunit ,42,2,25,2,Cox6a2,0.78,0.04,0.92,1.00,HEART,PROT,RAT
Q8SEZ6,Cytochrome c oxidase subunit 1 ,8,3,22,3,COI CO1 COX1 COXI,0.93,0.84,1.04,1.00,HEART,PROT,RAT
Q5UAJ6,Cytochrome c oxidase subunit 2 ,23,4,96,4,COX2 CO2,0.86,0.01,0.94,1.00,HEART,PROT,RAT
P10888,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial ",53,10,195,10,Cox4i1,0.83,<0.01,0.79,<0.01,HEART,PROT,RAT
P11240,"Cytochrome c oxidase subunit 5A, mitochondrial ",54,9,164,9,Cox5a,0.76,0.39,0.85,0.69,HEART,PROT,RAT
P12075,"Cytochrome c oxidase subunit 5B, mitochondrial ",30,4,97,4,Cox5b,0.76,0.54,0.94,0.84,HEART,PROT,RAT
P10818,"Cytochrome c oxidase subunit 6A1, mitochondrial ",59,3,36,3,Cox6a1,1.16,1.00,1.04,1.00,HEART,PROT,RAT
P11951,Cytochrome c oxidase subunit 6C-2 ,38,4,32,4,Cox6c,0.83,0.02,0.94,0.85,HEART,PROT,RAT
M0R5K3,Cytochrome c oxidase subunit 7A1 ,29,2,15,2,LOC687508; LOC100910772; Cox7a1,1.09,0.31,1.02,1.00,HEART,PROT,RAT
P35171,"Cytochrome c oxidase subunit 7A2, mitochondrial ",28,2,39,2,Cox7a2l2; Cox7a2,0.81,<0.01,0.77,<0.01,HEART,PROT,RAT
P80431,"Cytochrome c oxidase subunit 7B, mitochondrial ",10,2,12,2,Cox7b,0.79,0.17,0.93,1.00,HEART,PROT,RAT
P80432,"Cytochrome c oxidase subunit 7C, mitochondrial ",29,2,21,2,Cox7c,0.86,0.24,0.79,0.01,HEART,PROT,RAT
P62898,"Cytochrome c, somatic ",62,8,302,8,Cycs; LOC100363502,0.97,1.00,0.89,0.60,HEART,PROT,RAT
D3ZFQ8,Cytochrome c-1 ,47,10,152,10,Cyc1,0.87,0.94,0.92,1.00,HEART,PROT,RAT
G3V6S2,Cytoplasmic aconitate hydratase ,28,20,67,20,Aco1 rCG_55067,1.02,1.00,1.07,0.36,HEART,PROT,RAT
M0R9X8,Cytoplasmic dynein 1 heavy chain 1 ,27,94,218,94,Dync1h1,1.29,<0.01,1.32,<0.01,HEART,PROT,RAT
D3ZU74,Cytoplasmic dynein 1 intermediate chain 2 ,6,2,4,2,Dync1i2,1.38,0.29,1.60,0.13,HEART,PROT,RAT
D3ZH41,Cytoskeleton-associated protein 4 ,56,12,28,12,Ckap4,2.60,<0.01,2.43,<0.01,HEART,PROT,RAT
Q68FS4,Cytosol aminopeptidase ,41,16,55,16,Lap3,1.32,0.31,1.16,0.41,HEART,PROT,RAT
Q6Q0N1,Cytosolic non-specific dipeptidase ,39,12,27,12,Cndp2,1.27,0.21,1.24,0.25,HEART,PROT,RAT
P84850,"D-2-hydroxyglutarate dehydrogenase, mitochondrial ",11,4,6,4,D2hgdh,0.67,0.50,0.79,0.91,HEART,PROT,RAT
Q6AYT5,Damage-control phosphatase ARMT1 ,18,7,13,7,RGD1305235; Armt1,0.91,1.00,0.95,1.00,HEART,PROT,RAT
P29147,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial ",27,8,45,8,Bdh1,1.81,<0.01,1.40,<0.01,HEART,PROT,RAT
P80254,D-dopachrome decarboxylase ,46,6,20,6,Ddt,1.28,0.01,1.15,0.19,HEART,PROT,RAT
A0A096MIX2,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 17, isoform CRA_a ",13,7,15,4,Ddx17,1.01,1.00,0.90,1.00,HEART,PROT,RAT
Q6AYI1,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 ,12,8,14,5,Ddx5,0.75,0.57,0.93,1.00,HEART,PROT,RAT
Q4QQV4,Dead end homolog 1 (Zebrafish) ,19,8,15,8,Hars,0.93,1.00,0.84,0.72,HEART,PROT,RAT
A0A0G2K719,"DEAD-box helicase 3, X-linked ",23,11,39,2,Ddx3x,1.35,0.07,1.24,0.61,HEART,PROT,RAT
Q01129,Decorin ,33,11,63,10,Dcn,0.80,0.03,0.98,1.00,HEART,PROT,RAT
Q8VID1,Dehydrogenase/reductase SDR family member 4 ,28,8,38,8,Dhrs4,0.80,0.24,0.88,0.36,HEART,PROT,RAT
Q62651,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial ",51,14,91,14,Ech1,0.57,<0.01,0.67,<0.01,HEART,PROT,RAT
D3ZDE4,Deoxyguanosine kinase ,34,7,30,7,Dguok,0.88,0.79,1.01,1.00,HEART,PROT,RAT
Q6P725,Desmin ,67,29,600,25,Des,1.65,<0.01,1.41,<0.01,HEART,PROT,RAT
F1LYX9,Desmoglein 2 ,13,10,22,10,Dsg2,0.95,0.48,1.19,0.14,HEART,PROT,RAT
F1LMV6,Desmoplakin ,43,115,474,115,Dsp,1.11,0.04,1.17,<0.01,HEART,PROT,RAT
Q7M0E3,Destrin ,53,7,60,6,Dstn,1.68,<0.01,1.62,<0.01,HEART,PROT,RAT
D4A9W3,D-glutamate cyclase ,24,10,25,10,RGD1311756; Dglucy,0.80,0.06,0.92,0.42,HEART,PROT,RAT
A0A0G2JZH8,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex ,31,14,93,14,Pdhx,1.34,0.01,1.12,0.26,HEART,PROT,RAT
B2GV15,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex ,37,19,93,19,Dbt,0.78,0.04,0.87,0.72,HEART,PROT,RAT
G3V6P2,"Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex), isoform CRA_a ",27,10,126,10,Dlst,1.01,1.00,0.95,1.00,HEART,PROT,RAT
Q6P6R2,"Dihydrolipoyl dehydrogenase, mitochondrial ",46,15,197,15,Dld,1.14,0.68,0.99,1.00,HEART,PROT,RAT
