Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
G5E902,Slc25a3 mCG_10343,1.093,39,0.0006004,"MCG10343, isoform CRA_b OS=Mus musculus GN=Slc25a3 PE=1 SV=1",HEART,PROT,HUMAN
Q9CXJ4,Abcb8,1.093,8,0.009798,"ATP-binding cassette sub-family B member 8, mitochondrial OS=Mus musculus GN=Abcb8 PE=1 SV=1",HEART,PROT,HUMAN
Q99MN9,Pccb,1.093,21,0.01604,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Pccb PE=1 SV=2",HEART,PROT,HUMAN
G5E850,Cyb5a Cyb5 mCG_1553,1.093,5,0.2201,"Cytochrome b-5, isoform CRA_a OS=Mus musculus GN=Cyb5a PE=1 SV=1",HEART,PROT,HUMAN
Q9CQC9,Sar1b Sara1b Sara2,1.093,4,0.4544,GTP-binding protein SAR1b OS=Mus musculus GN=Sar1b PE=1 SV=1,HEART,PROT,HUMAN
Q8CC88,Vwa8 Kiaa0564,1.091,40,3.04E-05,von Willebrand factor A domain-containing protein 8 OS=Mus musculus GN=Vwa8 PE=1 SV=2,HEART,PROT,HUMAN
D3YX27,Htra2,1.09,6,0.0123,"Serine protease HTRA2, mitochondrial OS=Mus musculus GN=Htra2 PE=1 SV=1",HEART,PROT,HUMAN
Q9Z2I8,Suclg2,1.09,21,0.01283,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Suclg2 PE=1 SV=3",HEART,PROT,HUMAN
Q8R123,Flad1,1.09,7,0.01343,FAD synthase OS=Mus musculus GN=Flad1 PE=1 SV=1,HEART,PROT,HUMAN
Q9DC70,Ndufs7,1.09,21,0.06781,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Mus musculus GN=Ndufs7 PE=1 SV=1",HEART,PROT,HUMAN
Q91VA7,Idh3b mCG_9915,1.089,26,0.01834,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3b PE=1 SV=1",HEART,PROT,HUMAN
Q99J39,Mlycd,1.089,8,0.05356,"Malonyl-CoA decarboxylase, mitochondrial OS=Mus musculus GN=Mlycd PE=1 SV=1",HEART,PROT,HUMAN
Q9WUR9,Ak4 Ak-4 Ak3b Ak3l1,1.088,6,0.118,"Adenylate kinase 4, mitochondrial OS=Mus musculus GN=Ak4 PE=1 SV=1",HEART,PROT,HUMAN
Q8BUY5,Timmdc1,1.088,6,0.2032,"Complex I assembly factor TIMMDC1, mitochondrial OS=Mus musculus GN=Timmdc1 PE=1 SV=1",HEART,PROT,HUMAN
Q64669,Nqo1 Dia4 Nmo1 Nmor1,1.087,11,0.1003,NAD(P)H dehydrogenase [quinone] 1 OS=Mus musculus GN=Nqo1 PE=1 SV=3,HEART,PROT,HUMAN
B1ASZ3,Gk Gyk,1.087,5,0.2902,Glycerol kinase OS=Mus musculus GN=Gk PE=1 SV=1,HEART,PROT,HUMAN
Q9CRA2,Pdlim5,1.084,16,0.1165,PDZ and LIM domain protein 5 OS=Mus musculus GN=Pdlim5 PE=1 SV=1,HEART,PROT,HUMAN
Q99KR7,Ppif,1.084,12,0.2625,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus GN=Ppif PE=1 SV=1",HEART,PROT,HUMAN
Q8VCW8,Acsf2,1.083,9,0.008033,"Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1",HEART,PROT,HUMAN
Q02788,Col6a2,1.083,16,0.1235,Collagen alpha-2(VI) chain OS=Mus musculus GN=Col6a2 PE=1 SV=3,HEART,PROT,HUMAN
Q91WM2,Hdhd5 Cecr5,1.083,3,0.234,Haloacid dehalogenase-like hydrolase domain-containing 5 OS=Mus musculus GN=Hdhd5 PE=1 SV=1,HEART,PROT,HUMAN
Q9D1G3,Hhatl Gup1 Kiaa1173,1.083,8,0.402,Protein-cysteine N-palmitoyltransferase HHAT-like protein OS=Mus musculus GN=Hhatl PE=1 SV=2,HEART,PROT,HUMAN
A2AL85,Asph,1.083,9,0.4896,Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus GN=Asph PE=1 SV=1,HEART,PROT,HUMAN
Q8C0L0,Tmx4 D2Bwg1356e Kiaa1162 Txndc13,1.081,4,0.1472,Thioredoxin-related transmembrane protein 4 OS=Mus musculus GN=Tmx4 PE=1 SV=2,HEART,PROT,HUMAN
Q8CAK1,Iba57,1.081,3,0.245,"Putative transferase CAF17 homolog, mitochondrial OS=Mus musculus GN=Iba57 PE=1 SV=1",HEART,PROT,HUMAN
D3YYK0,Abhd11 mCG_16705,1.081,3,0.5548,"Abhydrolase domain containing 11, isoform CRA_b OS=Mus musculus GN=Abhd11 PE=1 SV=1",HEART,PROT,HUMAN
Q3TC33,Ccdc127,1.081,3,0.588,Coiled-coil domain-containing protein 127 OS=Mus musculus GN=Ccdc127 PE=1 SV=2,HEART,PROT,HUMAN
Q3URE1,Acsf3,1.08,7,0.3519,"Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=1 SV=2",HEART,PROT,HUMAN
A0A0R4J1N9,Tfam mCG_17822,1.079,7,0.1368,"Transcription factor A, mitochondrial OS=Mus musculus GN=Tfam PE=1 SV=1",HEART,PROT,HUMAN
Q61102,Abcb7 Abc7,1.079,4,0.3247,"ATP-binding cassette sub-family B member 7, mitochondrial OS=Mus musculus GN=Abcb7 PE=1 SV=3",HEART,PROT,HUMAN
P05132,Prkaca Pkaca,1.079,3,0.7749,cAMP-dependent protein kinase catalytic subunit alpha OS=Mus musculus GN=Prkaca PE=1 SV=3,HEART,PROT,HUMAN
Q91YE8,Synpo2,1.078,9,0.0007628,Synaptopodin-2 OS=Mus musculus GN=Synpo2 PE=1 SV=2,HEART,PROT,HUMAN
Q9JJW5,Myoz2,1.078,35,0.01091,Myozenin-2 OS=Mus musculus GN=Myoz2 PE=1 SV=1,HEART,PROT,HUMAN
P97807,Fh Fh1,1.078,53,0.01414,"Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3",HEART,PROT,HUMAN
Q3U3J1,Bckdha mCG_7651,1.077,9,0.3432,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus GN=Bckdha PE=1 SV=1",HEART,PROT,HUMAN
D3Z3F4,Mtx1,1.077,6,0.6481,Metaxin-1 (Fragment) OS=Mus musculus GN=Mtx1 PE=1 SV=2,HEART,PROT,HUMAN
P35486,Pdha1 Pdha-1,1.076,55,0.02715,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus GN=Pdha1 PE=1 SV=1",HEART,PROT,HUMAN
A0A1Y7VK19,Isca2,1.076,3,0.05305,"Iron-sulfur cluster assembly 2 homolog, mitochondrial (Fragment) OS=Mus musculus GN=Isca2 PE=1 SV=1",HEART,PROT,HUMAN
J3QMG3,Vdac3,1.076,20,0.05368,Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J083,Acadl,1.076,55,0.1132,"Long-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=1",HEART,PROT,HUMAN
Q9CXD6,Mcur1 Ccdc90a,1.075,3,0.07466,Mitochondrial calcium uniporter regulator 1 OS=Mus musculus GN=Mcur1 PE=1 SV=1,HEART,PROT,HUMAN
Q9JI39,Abcb10,1.075,3,0.1951,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus GN=Abcb10 PE=1 SV=1",HEART,PROT,HUMAN
P84084,Arf5,1.075,3,0.2177,ADP-ribosylation factor 5 OS=Mus musculus GN=Arf5 PE=1 SV=2,HEART,PROT,HUMAN
P27005,S100a8 Caga Mrp8,1.073,5,0.3777,Protein S100-A8 OS=Mus musculus GN=S100a8 PE=1 SV=3,HEART,PROT,HUMAN
Q544X6,Fech,1.073,3,0.6348,Ferrochelatase OS=Mus musculus GN=Fech PE=1 SV=1,HEART,PROT,HUMAN
Q9D8Y1,Tmem126a,1.072,3,0.4583,Transmembrane protein 126A OS=Mus musculus GN=Tmem126a PE=1 SV=1,HEART,PROT,HUMAN
Q8R3F5,Mcat Mt,1.072,4,0.5145,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Mus musculus GN=Mcat PE=1 SV=3",HEART,PROT,HUMAN
Q8C3X2,Ccdc90b,1.071,5,0.1144,"Coiled-coil domain-containing protein 90B, mitochondrial OS=Mus musculus GN=Ccdc90b PE=1 SV=1",HEART,PROT,HUMAN
P06801,Me1 Mod-1 Mod1,1.071,5,0.1756,NADP-dependent malic enzyme OS=Mus musculus GN=Me1 PE=1 SV=2,HEART,PROT,HUMAN
P63038,Hspd1 Hsp60,1.07,104,0.000311,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1",HEART,PROT,HUMAN
O09131,Gsto1 Gstx Gtsttl,1.07,14,0.00058,Glutathione S-transferase omega-1 OS=Mus musculus GN=Gsto1 PE=1 SV=2,HEART,PROT,HUMAN
P08249,Mdh2 Mor1,1.07,50,0.0217,"Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3",HEART,PROT,HUMAN
P28474,Adh5 Adh-2 Adh2,1.07,5,0.2773,Alcohol dehydrogenase class-3 OS=Mus musculus GN=Adh5 PE=1 SV=3,HEART,PROT,HUMAN
Q3UQ84,Tars2 Tarsl1,1.07,4,0.5657,"Threonine--tRNA ligase, mitochondrial OS=Mus musculus GN=Tars2 PE=1 SV=1",HEART,PROT,HUMAN
Q8K2B3,Sdha,1.066,41,0.04572,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1",HEART,PROT,HUMAN
D3Z5J3,Sorbs1,1.066,32,0.06438,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=1,HEART,PROT,HUMAN
E9PYJ9,Ldb3,1.066,37,0.09386,LIM domain-binding protein 3 OS=Mus musculus GN=Ldb3 PE=1 SV=1,HEART,PROT,HUMAN
P24270,Cat Cas-1 Cas1,1.066,18,0.1236,Catalase OS=Mus musculus GN=Cat PE=1 SV=4,HEART,PROT,HUMAN
Q9D0K2,Oxct1 Oxct Scot,1.064,50,0.09134,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus GN=Oxct1 PE=1 SV=1",HEART,PROT,HUMAN
Q505D7,Opa3,1.064,3,0.1355,Optic atrophy 3 protein homolog OS=Mus musculus GN=Opa3 PE=1 SV=1,HEART,PROT,HUMAN
Q02013,Aqp1,1.064,3,0.7186,Aquaporin-1 OS=Mus musculus GN=Aqp1 PE=1 SV=3,HEART,PROT,HUMAN
P42125,Eci1 Dci,1.063,28,0.06195,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2",HEART,PROT,HUMAN
A2AKU9,Atp5c1,1.063,46,0.1084,ATP synthase subunit gamma OS=Mus musculus GN=Atp5c1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BMF4,Dlat,1.063,35,0.1188,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2",HEART,PROT,HUMAN
Q9CQQ7,Atp5pb Atp5f1,1.063,24,0.1205,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus GN=Atp5f1 PE=1 SV=1",HEART,PROT,HUMAN
Q99MR8,Mccc1 Mcca,1.063,17,0.4495,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Mus musculus GN=Mccc1 PE=1 SV=2",HEART,PROT,HUMAN
E9QQ96,Obscn,1.061,99,0.001167,Obscurin OS=Mus musculus GN=Obscn PE=1 SV=2,HEART,PROT,HUMAN
E9PWZ3,Rpl3l,1.061,5,0.1695,Ribosomal protein L3-like OS=Mus musculus GN=Rpl3l PE=1 SV=1,HEART,PROT,HUMAN
A0A0A6YXR4,Cryz,1.06,5,0.1718,Quinone oxidoreductase (Fragment) OS=Mus musculus GN=Cryz PE=1 SV=5,HEART,PROT,HUMAN
Q5U458,Dnajc11,1.059,8,0.08406,DnaJ homolog subfamily C member 11 OS=Mus musculus GN=Dnajc11 PE=1 SV=2,HEART,PROT,HUMAN
Q9DCS3,Mecr Nrbf1,1.059,4,0.4679,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Mus musculus GN=Mecr PE=1 SV=2",HEART,PROT,HUMAN
Q9DB77,Uqcrc2,1.058,41,0.05274,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1",HEART,PROT,HUMAN
Q99LP6,Grpel1,1.058,13,0.1155,"GrpE protein homolog 1, mitochondrial OS=Mus musculus GN=Grpel1 PE=1 SV=1",HEART,PROT,HUMAN
Q5IRJ6,Slc30a9,1.058,5,0.1415,Zinc transporter 9 OS=Mus musculus GN=Slc30a9 PE=1 SV=2,HEART,PROT,HUMAN
B1AU25,Aifm1,1.057,22,0.06525,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1",HEART,PROT,HUMAN
Q8VDQ1,Ptgr2 Zadh1,1.057,5,0.3807,Prostaglandin reductase 2 OS=Mus musculus GN=Ptgr2 PE=1 SV=2,HEART,PROT,HUMAN
H7BX05,Obscn,1.054,94,0.004924,Obscurin OS=Mus musculus GN=Obscn PE=1 SV=2,HEART,PROT,HUMAN
Q8BH95,Echs1,1.054,27,0.2984,"Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1",HEART,PROT,HUMAN
Q91ZJ5,Ugp2,1.053,23,0.01993,UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus GN=Ugp2 PE=1 SV=3,HEART,PROT,HUMAN
Q71RI9,Kyat3 Ccbl2 Kat3,1.052,4,0.6769,Kynurenine--oxoglutarate transaminase 3 OS=Mus musculus GN=Kyat3 PE=1 SV=1,HEART,PROT,HUMAN
P16332,Mmut Mut,1.051,23,0.03029,"Methylmalonyl-CoA mutase, mitochondrial OS=Mus musculus GN=Mut PE=1 SV=2",HEART,PROT,HUMAN
Q9CXZ1,Ndufs4,1.051,19,0.1375,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Mus musculus GN=Ndufs4 PE=1 SV=3",HEART,PROT,HUMAN
P48771,Cox7a2 Cox7a3 Cox7al,1.051,4,0.2451,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus GN=Cox7a2 PE=1 SV=2",HEART,PROT,HUMAN
Q9Z2U1,Psma5,1.051,4,0.3249,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J1R7,Pcbd2,1.051,4,0.3854,Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus GN=Pcbd2 PE=1 SV=1,HEART,PROT,HUMAN
E9Q8T1,Tacc2,1.05,16,0.1366,Transforming acidic coiled-coil-containing protein 2 OS=Mus musculus GN=Tacc2 PE=1 SV=1,HEART,PROT,HUMAN
A0A286YD34,Sorbs1,1.05,3,0.3835,Sorbin and SH3 domain-containing protein 1 (Fragment) OS=Mus musculus GN=Sorbs1 PE=4 SV=1,HEART,PROT,HUMAN
Q64442,Sord Sdh1,1.049,3,0.3398,Sorbitol dehydrogenase OS=Mus musculus GN=Sord PE=1 SV=3,HEART,PROT,HUMAN
P56380,Nudt2 Apah1,1.049,4,0.5086,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Mus musculus GN=Nudt2 PE=1 SV=3,HEART,PROT,HUMAN
D3YZN4,Spg7,1.048,5,0.5563,Paraplegin OS=Mus musculus GN=Spg7 PE=1 SV=1,HEART,PROT,HUMAN
P49813,Tmod1 Tmod,1.047,24,0.2624,Tropomodulin-1 OS=Mus musculus GN=Tmod1 PE=1 SV=2,HEART,PROT,HUMAN
P19639,Gstm3,1.047,10,0.445,Glutathione S-transferase Mu 3 OS=Mus musculus GN=Gstm3 PE=1 SV=2,HEART,PROT,HUMAN
E9Q9C1,Ablim1,1.046,30,0.2911,Actin-binding LIM protein 1 OS=Mus musculus GN=Ablim1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BIJ6,Iars2,1.045,12,0.2536,"Isoleucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Iars2 PE=1 SV=1",HEART,PROT,HUMAN
Q91Z53,Grhpr Glxr,1.044,9,0.5538,Glyoxylate reductase/hydroxypyruvate reductase OS=Mus musculus GN=Grhpr PE=1 SV=1,HEART,PROT,HUMAN
Q9ESW4,Agk Mulk,1.044,5,0.5644,"Acylglycerol kinase, mitochondrial OS=Mus musculus GN=Agk PE=1 SV=1",HEART,PROT,HUMAN
E0CXH4,Cmbl,1.043,6,0.5771,Carboxymethylenebutenolidase homolog (Fragment) OS=Mus musculus GN=Cmbl PE=1 SV=1,HEART,PROT,HUMAN
Q8BFR5,Tufm,1.042,49,0.1861,"Elongation factor Tu, mitochondrial OS=Mus musculus GN=Tufm PE=1 SV=1",HEART,PROT,HUMAN
O70250,Pgam2,1.039,20,0.01421,Phosphoglycerate mutase 2 OS=Mus musculus GN=Pgam2 PE=1 SV=3,HEART,PROT,HUMAN
P56375,Acyp2 Acyp,1.039,8,0.06886,Acylphosphatase-2 OS=Mus musculus GN=Acyp2 PE=1 SV=2,HEART,PROT,HUMAN
Q6PB66,Lrpprc Lrp130,1.039,55,0.1434,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2",HEART,PROT,HUMAN
Q8CG76,Akr7a2 Afar Akr7a5,1.039,7,0.3583,Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus GN=Akr7a2 PE=1 SV=3,HEART,PROT,HUMAN
Q5SUD5,Sco1,1.039,4,0.553,"Protein SCO1 homolog, mitochondrial OS=Mus musculus GN=Sco1 PE=1 SV=1",HEART,PROT,HUMAN
P52503,Ndufs6 Ip13,1.039,12,0.5911,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus GN=Ndufs6 PE=1 SV=2",HEART,PROT,HUMAN
Q6R0H7,Gnas Gnas1,1.039,6,0.6545,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Mus musculus GN=Gnas PE=1 SV=1,HEART,PROT,HUMAN
Q9CR24,Nudt8,1.039,4,0.6937,Nucleoside diphosphate-linked moiety X motif 8 OS=Mus musculus GN=Nudt8 PE=1 SV=1,HEART,PROT,HUMAN
Q9R112,Sqor Sqrdl,1.038,6,0.5912,"Sulfide:quinone oxidoreductase, mitochondrial OS=Mus musculus GN=Sqor PE=1 SV=3",HEART,PROT,HUMAN
Q8K3C3,Lzic,1.038,6,0.7195,Protein LZIC OS=Mus musculus GN=Lzic PE=1 SV=1,HEART,PROT,HUMAN
Q6P9R2,Oxsr1 Osr1,1.037,3,0.08028,Serine/threonine-protein kinase OSR1 OS=Mus musculus GN=Oxsr1 PE=1 SV=1,HEART,PROT,HUMAN
Q08857,Cd36,1.037,13,0.3606,Platelet glycoprotein 4 OS=Mus musculus GN=Cd36 PE=1 SV=2,HEART,PROT,HUMAN
P16125,Ldhb Ldh-2 Ldh2,1.037,42,0.4739,L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2,HEART,PROT,HUMAN
O88696,Clpp,1.037,10,0.5348,"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Mus musculus GN=Clpp PE=1 SV=1",HEART,PROT,HUMAN
Q9CPP6,Ndufa5,1.036,57,0.1207,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Mus musculus GN=Ndufa5 PE=1 SV=3,HEART,PROT,HUMAN
Q3UIJ9,Myzap Myozap,1.036,8,0.5753,Myocardial zonula adherens protein OS=Mus musculus GN=Myzap PE=1 SV=1,HEART,PROT,HUMAN
Q9R0M4,Podxl Pclp1,1.036,3,0.6751,Podocalyxin OS=Mus musculus GN=Podxl PE=1 SV=2,HEART,PROT,HUMAN
A0A087WR45,Prob1,1.035,5,0.3677,Proline-rich basic protein 1 OS=Mus musculus GN=Prob1 PE=1 SV=1,HEART,PROT,HUMAN
P58281,Opa1,1.035,43,0.4079,"Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus GN=Opa1 PE=1 SV=1",HEART,PROT,HUMAN
Q7TMG8,Nipsnap2 Gbas,1.035,28,0.4236,Glioblastoma amplified sequence OS=Mus musculus GN=Nipsnap2 PE=1 SV=1,HEART,PROT,HUMAN
Q9CQ73,Pkp2 mCG_126835,1.035,22,0.4545,Plakophilin 2 OS=Mus musculus GN=Pkp2 PE=1 SV=1,HEART,PROT,HUMAN
Q9D7P6,Iscu Nifun,1.035,4,0.5287,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial OS=Mus musculus GN=Iscu PE=1 SV=1",HEART,PROT,HUMAN
P04117,Fabp4 Ap2,1.035,21,0.5378,"Fatty acid-binding protein, adipocyte OS=Mus musculus GN=Fabp4 PE=1 SV=3",HEART,PROT,HUMAN
Q91WK5,Gcsh,1.035,4,0.6032,"Glycine cleavage system H protein, mitochondrial OS=Mus musculus GN=Gcsh PE=1 SV=2",HEART,PROT,HUMAN
O08759,Ube3a,1.034,5,0.6312,Ubiquitin-protein ligase E3A OS=Mus musculus GN=Ube3a PE=1 SV=2,HEART,PROT,HUMAN
Q59J78,Ndufaf2 Ndufa12l,1.034,4,0.7525,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Mus musculus GN=Ndufaf2 PE=1 SV=1,HEART,PROT,HUMAN
Q9D1H6,Ndufaf4 Hrpap20,1.033,5,0.02322,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 OS=Mus musculus GN=Ndufaf4 PE=1 SV=1,HEART,PROT,HUMAN
P33175,Kif5a Kiaa4086 Kif5 Nkhc1,1.033,6,0.3159,Kinesin heavy chain isoform 5A OS=Mus musculus GN=Kif5a PE=1 SV=3,HEART,PROT,HUMAN
Q99M87,Dnaja3 Tid1,1.033,14,0.4435,"DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1",HEART,PROT,HUMAN
A6H611,Mipep,1.032,3,0.879,Mitochondrial intermediate peptidase OS=Mus musculus GN=Mipep PE=1 SV=1,HEART,PROT,HUMAN
A6H644,Ppp1r12b mCG_130490,1.031,27,0.08501,MCG130490 OS=Mus musculus GN=Ppp1r12b PE=1 SV=1,HEART,PROT,HUMAN
Q8CI94,Pygb,1.031,60,0.1958,"Glycogen phosphorylase, brain form OS=Mus musculus GN=Pygb PE=1 SV=3",HEART,PROT,HUMAN
Q8R2Q4,Gfm2 Efg2,1.031,3,0.5164,"Ribosome-releasing factor 2, mitochondrial OS=Mus musculus GN=Gfm2 PE=1 SV=2",HEART,PROT,HUMAN
Q9D2G2,Dlst,1.03,30,0.1971,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1",HEART,PROT,HUMAN
P26443,Glud1 Glud,1.03,22,0.2006,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1",HEART,PROT,HUMAN
O35129,Phb2 Bap Bcap37 Rea,1.03,30,0.4409,Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1,HEART,PROT,HUMAN
P06795,Abcb1b Abcb1 Mdr1 Mdr1b Pgy1 Pgy1-1,1.03,3,0.5897,Multidrug resistance protein 1B OS=Mus musculus GN=Abcb1b PE=1 SV=1,HEART,PROT,HUMAN
P00920,Ca2 Car2,1.03,8,0.5898,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4,HEART,PROT,HUMAN
Q9D855,Uqcrb,1.03,30,0.5917,Cytochrome b-c1 complex subunit 7 OS=Mus musculus GN=Uqcrb PE=1 SV=3,HEART,PROT,HUMAN
P56382,Atp5f1e Atp5e,1.029,4,0.2425,"ATP synthase subunit epsilon, mitochondrial OS=Mus musculus GN=Atp5e PE=1 SV=2",HEART,PROT,HUMAN
Q9JLV1,Bag3 Bis MNCb-2243,1.028,22,0.2522,BAG family molecular chaperone regulator 3 OS=Mus musculus GN=Bag3 PE=1 SV=2,HEART,PROT,HUMAN
Q9JKS4,Ldb3 Kiaa0613,1.028,52,0.3834,LIM domain-binding protein 3 OS=Mus musculus GN=Ldb3 PE=1 SV=1,HEART,PROT,HUMAN
Q9Z1J3,Nfs1 Nifs,1.028,9,0.4011,"Cysteine desulfurase, mitochondrial OS=Mus musculus GN=Nfs1 PE=1 SV=3",HEART,PROT,HUMAN
Q8JZQ2,Afg3l2,1.028,17,0.4468,AFG3-like protein 2 OS=Mus musculus GN=Afg3l2 PE=1 SV=1,HEART,PROT,HUMAN
J3QN31,Adssl1 ADSS1 ADSSL1,1.028,12,0.5933,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus GN=Adssl1 PE=1 SV=1,HEART,PROT,HUMAN
P63321,Rala Ral Ral-a,1.028,4,0.6762,Ras-related protein Ral-A OS=Mus musculus GN=Rala PE=1 SV=1,HEART,PROT,HUMAN
Q8C6I2,Sdhaf2 Pgl2 Sdh5,1.028,4,0.6867,"Succinate dehydrogenase assembly factor 2, mitochondrial OS=Mus musculus GN=Sdhaf2 PE=1 SV=1",HEART,PROT,HUMAN
F6YCM8,Slmap,1.027,21,0.389,Sarcolemmal membrane-associated protein (Fragment) OS=Mus musculus GN=Slmap PE=1 SV=1,HEART,PROT,HUMAN
Q9R0C0,Bloc1s6 P2 Pa Pldn,1.027,3,0.7692,Biogenesis of lysosome-related organelles complex 1 subunit 6 OS=Mus musculus GN=Bloc1s6 PE=1 SV=1,HEART,PROT,HUMAN
Q7TQ48,Srl Sar,1.026,64,0.5488,Sarcalumenin OS=Mus musculus GN=Srl PE=1 SV=1,HEART,PROT,HUMAN
P11152,Lpl,1.026,9,0.6901,Lipoprotein lipase OS=Mus musculus GN=Lpl PE=1 SV=3,HEART,PROT,HUMAN
P30416,Fkbp4 Fkpb52,1.026,12,0.7475,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus GN=Fkbp4 PE=1 SV=5,HEART,PROT,HUMAN
Q4VAE3,Tmem65,1.026,5,0.791,Transmembrane protein 65 OS=Mus musculus GN=Tmem65 PE=1 SV=1,HEART,PROT,HUMAN
Q3U422,Ndufv3 1500032D16Rik mCG_14261,1.026,7,0.8184,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Mus musculus GN=Ndufv3 PE=1 SV=1",HEART,PROT,HUMAN
Q65CL1,Ctnna3 Catna3,1.025,8,0.4399,Catenin alpha-3 OS=Mus musculus GN=Ctnna3 PE=1 SV=2,HEART,PROT,HUMAN
P62932,Fbxo40,1.025,4,0.5873,F-box only protein 40 OS=Mus musculus GN=Fbxo40 PE=1 SV=1,HEART,PROT,HUMAN
P17665,Cox7c Cox7c1,1.025,9,0.7054,"Cytochrome c oxidase subunit 7C, mitochondrial OS=Mus musculus GN=Cox7c PE=1 SV=1",HEART,PROT,HUMAN
Q9CR68,Uqcrfs1,1.024,42,0.4796,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus GN=Uqcrfs1 PE=1 SV=1",HEART,PROT,HUMAN
